Median Income,State,Year
48053,arkansas,2010
47521,mississippi,2010
72039,alaska,2010
75009,colorado,2010
75176,virginia,2010
57143,ohio,2010
63016,oregon,2010
47050,idaho,2010
63173,illinois,2010
61364,united states,2010
57057,missouri,2010
57352,kansas,2010
82979,new hampshire,2010
47931,maine,2010
56478,south dakota,2010
60166,pennsylvania,2010
61993,new york,2010
70611,utah,2010
61041,iowa,2010
57458,indiana,2010
78415,new jersey,2010
74145,hawaii,2010
53677,oklahoma,2010
79951,maryland,2010
65156,minnesota,2010
56206,new mexico,2010
68759,delaware,2010
63519,north dakota,2010
65384,nebraska,2010
54582,north carolina,2010
39300,louisiana,2010
65007,wyoming,2010
54940,georgia,2010
41280,montana,2010
51200,nevada,2010
67600,california,2010
75882,massachusetts,2010
40933,alabama,2010
58400,arizona,2010
56163,washington,2010
82189,connecticut,2010
64287,rhode island,2010
38591,tennessee,2010
53271,west virginia,2010
58861,texas,2010
51927,south carolina,2010
51188,kentucky,2010
69648,vermont,2010
62703,wisconsin,2010
54876,florida,2010
57628,michigan,2010
