Median Income,State,Year
47257,arkansas,2003
48329,mississippi,2003
76547,alaska,2003
73746,colorado,2003
80897,virginia,2003
64265,ohio,2003
61486,oregon,2003
42372,idaho,2003
66677,illinois,2003
63967,united states,2003
64623,missouri,2003
65317,kansas,2003
82055,new hampshire,2003
37113,maine,2003
58362,south dakota,2003
63398,pennsylvania,2003
63184,new york,2003
72764,utah,2003
61111,iowa,2003
62648,indiana,2003
82761,new jersey,2003
76542,hawaii,2003
53016,oklahoma,2003
77251,maryland,2003
78003,minnesota,2003
51839,new mexico,2003
72386,delaware,2003
59673,north dakota,2003
64936,nebraska,2003
55049,north carolina,2003
33507,louisiana,2003
62840,wyoming,2003
62668,georgia,2003
34108,montana,2003
45184,nevada,2003
72801,california,2003
75244,massachusetts,2003
37255,alabama,2003
60789,arizona,2003
47508,washington,2003
81166,connecticut,2003
66024,rhode island,2003
37523,tennessee,2003
48381,west virginia,2003
57991,texas,2003
56821,south carolina,2003
54543,kentucky,2003
63883,vermont,2003
68325,wisconsin,2003
57549,florida,2003
66483,michigan,2003
