Median Income,State,Year
46853,Arkansas,2000
54113,mississippi,2000
83377,alaska,2000
76108,colorado,2000
74409,virginia,2000
67781,ohio,2000
67051,oregon,2000
37611,idaho,2000
72675,illinois,2000
66248,united states,2000
71149,missouri,2000
64779,kansas,2000
80346,new hampshire,2000
37266,maine,2000
57547,south dakota,2000
66541,pennsylvania,2000
64282,new york,2000
75020,utah,2000
64671,iowa,2000
64473,indiana,2000
79524,new jersey,2000
81324,hawaii,2000
51168,oklahoma,2000
86040,maryland,2000
85592,minnesota,2000
55366,new mexico,2000
79461,delaware,2000
56791,north dakota,2000
65869,nebraska,2000
60453,north carolina,2000
30718,louisiana,2000
62523,wyoming,2000
66107,georgia,2000
32777,montana,2000
45758,nevada,2000
73862,california,2000
73762,massachusetts,2000
35424,alabama,2000
62766,arizona,2000
42525,washington,2000
79156,connecticut,2000
66574,rhode island,2000
34096,tennessee,2000
46402,west virginia,2000
60913,texas,2000
59274,south carolina,2000
57215,kentucky,2000
62467,vermont,2000
71135,wisconsin,2000
61303,florida,2000
71804,michigan,2000
