Year,GDP,State
2020,680960000000.0,Pennsylvania
2020,92500000000.0,New Mexico
2020,448460000000.0,Michigan
2020,51520000000.0,Rhode Island
2020,146490000000.0,Nevada
2020,47400000000.0,South Dakota
2020,734390000000.0,Illinois
2020,950160000000.0,Florida
2020,199880000000.0,Alabama
2020,118140000000.0,Nebraska
2020,70110000000.0,Hawaii
2020,327280000000.0,Indiana
2020,537620000000.0,Georgia
2020,170960000000.0,Iowa
2020,353350000000.0,Colorado
2020,46750000000.0,Montana
2020,594140000000.0,Ohio
2020,352380000000.0,Maryland
2020,75930000000.0,New Hampshire
2020,174950000000.0,Utah
2020,53650000000.0,North Dakota
2020,506660000000.0,North Carolina
2020,293100000000.0,Wisconsin
2020,158350000000.0,Kansas
2020,535320000000.00006,New Jersey
2020,215740000000.0,Oregon
2020,2667220000000.0,California
2020,282750000000.0,Missouri
2020,29060000000.0,Vermont
2020,500000000000.0,Massachusetts
2020,70440000000.0,West Virginia
2020,1747560000000.0,Texas
2020,188400000000.0,Kentucky
2020,50710000000.0,Alaska
2020,59880000000.0,Maine
2020,327180000000.0,Arizona
2020,1432510000000.0,New York
2020,328490000000.0,Minnesota
2020,36270000000.0,Wyoming
2020,323450000000.0,Tennessee
2020,75150000000.0,Idaho
2020,100530000000.0,Mississippi
2020,218420000000.0,Louisiana
2020,62280000000.0,Delaware
2020,192490000000.0,Oklahoma
2020,538860000000.0,Washington
2020,117270000000.0,Arkansas
2020,235230000000.0,Connecticut
2020,208230000000.0,South Carolina
