State or Other Area,2010 Actual
Alabama,3061491531.03
Alaska,427620917.41
American Samoa,44542773.51
Arizona,10181765748.05
Arkansas,1542976135.77
California,18401548958.99
Colorado,3383144560.23
Connecticut,1685550602.52
Delaware,529740270.36
District of Columbia,1691927260.71
Florida,10463075106.31
Freely Associated States,31833648.00
Georgia,6605891174.71
Guam,86355191.05
Hawaii,531380063.69
Idaho,835840128.81
Illinois,9151542441.05
Indian set-aside,342425772.00
Indiana,4430351596.68
Iowa,4200960739.90
Kansas,1639412700.68
Kentucky,2562570756.57
Louisiana,2335545319.09
Maine,699844636.55
Maryland,2751359220.27
Massachusetts,4216387368.92
Michigan,6717055727.61
Minnesota,4608090142.47
Mississippi,1838020863.66
Missouri,3968124334.43
Montana,555874103.66
Nebraska,1096751910.68
Nevada,892655776.80
New Hampshire,735167198.66
New Jersey,3493151504.81
New Mexico,1120863622.41
New York,12795002410.03
North Carolina,4424904920.60
North Dakota,458969832.64
Northern Mariana Islands,28704370.27
Ohio,7605066446.90
Oklahoma,1961296841.23
Oregon,2359873142.21
Other,997112891.89
Pennsylvania,8439063998.98
Puerto Rico,2545919422.59
Rhode Island,807647788.39
South Carolina,2525717313.92
South Dakota,598234609.14
Tennessee,3473788990.42
Texas,12354590579.17
Utah,1622124306.39
Vermont,504029603.45
Virgin Islands,59369021.50
Virginia,4487279644.01
Washington,2842846379.92
West Virginia,1336927078.41
Wisconsin,2915774857.72
Wyoming,272369090.67
     Total,192277453348.48
