State or Other Area,2002 Actual
Alabama,1387975241.00
Alaska,260180178.00
American Samoa,27734322.00
Arizona,2520137525.00
Arkansas,733650835.00
California,9092121808.00
Colorado,1238777106.00
Connecticut,825970250.00
Delaware,216149404.00
District of Columbia,663632391.00
Florida,4124966740.00
Freely Associated States,12480982.00
Georgia,2313606367.00
Guam,49508634.00
Hawaii,271216945.00
Idaho,387946629.00
Illinois,3787395383.00
Indian set-aside,240986488.00
Indiana,1831992075.00
Iowa,1050102995.00
Kansas,831895259.00
Kentucky,1097466524.00
Louisiana,1454436369.00
Maine,371144771.00
Maryland,1248475008.00
Massachusetts,2158368561.00
Michigan,2853382957.00
Minnesota,1491617009.00
Mississippi,914917630.00
Missouri,1825224666.00
Montana,337784625.00
Nebraska,561372404.00
Nevada,315850518.00
New Hampshire,379199766.00
New Jersey,1788556522.00
New Mexico,609110771.00
New York,6856280172.00
North Carolina,1942521331.00
North Dakota,293462900.00
Northern Mariana Islands,17447020.00
Ohio,3346374854.00
Oklahoma,1129165230.00
Oregon,1045914343.00
Other,1431039840.00
Pennsylvania,4218203051.00
Puerto Rico,1480303746.00
Rhode Island,426601401.00
South Carolina,1086611670.00
South Dakota,342344861.00
Tennessee,1514613174.00
Texas,5638643478.00
Utah,594855398.00
Vermont,276976033.00
Virgin Islands,37827828.00
Virginia,1772711389.00
Washington,1501299011.00
West Virginia,593509323.00
Wisconsin,1357291868.00
Wyoming,182179355.00
     Total,86354723692.00
