State or Other Area,2011 Actual
Alabama,2879238226.04
Alaska,439835771.02
American Samoa,33232399.00
Arizona,8998281669.29
Arkansas,1460922257.28
California,17284116871.01
Colorado,3292972712.71
Connecticut,1646164335.99
Delaware,375182304.89
District of Columbia,2026483134.43
Florida,10371606988.97
Freely Associated States,30722624.00
Georgia,5480540148.94
Guam,70620023.89
Hawaii,524570627.85
Idaho,850625017.77
Illinois,9240377997.20
Indian set-aside,288668382.00
Indiana,4713456128.02
Iowa,4109414058.56
Kansas,638328561.00
Kentucky,2507020977.30
Louisiana,2270917149.70
Maine,697328857.44
Maryland,2600882404.96
Massachusetts,4051605567.21
Michigan,6171461102.14
Minnesota,4585013228.44
Mississippi,1696324100.47
Missouri,3814949688.54
Montana,550442264.66
Nebraska,1123544237.15
Nevada,812512832.85
New Hampshire,737241054.87
New Jersey,3302515883.37
New Mexico,1045447262.82
New York,11988354948.74
North Carolina,4322845061.11
North Dakota,436316716.69
Northern Mariana Islands,20181667.00
Ohio,7040748173.11
Oklahoma,1914987911.51
Oregon,2332033006.46
Other,1423126653.61
Pennsylvania,8203593196.51
Puerto Rico,2342287544.88
Rhode Island,832176444.87
South Carolina,2337037905.55
South Dakota,665308184.08
Tennessee,3386508073.91
Texas,11815683237.05
Utah,1712850037.23
Vermont,499797462.82
Virgin Islands,46380192.07
Virginia,4233269653.80
Washington,2587085704.04
West Virginia,1365050780.61
Wisconsin,2820795505.64
Wyoming,270636459.43
     Total,184508393714.16
