State or Other Area,2007 Actual
Alabama,1774144162.00
Alaska,305996183.90
American Samoa,31497024.84
Arizona,5864572510.00
Arkansas,988744640.80
California,11912567291.00
Colorado,2029026695.00
Connecticut,1081503459.00
Delaware,325591740.10
District of Columbia,853788582.70
Florida,6267422115.00
Freely Associated States,19547712.22
Georgia,3511477352.00
Guam,56441359.80
Hawaii,342789117.60
Idaho,484532926.00
Illinois,5255753298.00
Indian set-aside,277384475.20
Indiana,2486601474.00
Iowa,1960014304.00
Kansas,1038701562.00
Kentucky,1624990570.00
Louisiana,1671183286.00
Maine,447461242.20
Maryland,1707514009.00
Massachusetts,2791876591.00
Michigan,4194823730.00
Minnesota,2720416368.00
Mississippi,1235401454.00
Missouri,2510828590.00
Montana,377637340.90
Nebraska,750456923.20
Nevada,548856690.70
New Hampshire,479709023.60
New Jersey,2302794768.00
New Mexico,737216000.30
New York,8514733210.00
North Carolina,2712595650.00
North Dakota,338478195.30
Northern Mariana Islands,17740424.82
Ohio,4439000194.00
Oklahoma,1369915637.00
Oregon,1372901433.00
Other,889800050.60
Pennsylvania,5586045205.00
Puerto Rico,1836338502.00
Rhode Island,607021205.30
South Carolina,1486225056.00
South Dakota,401770417.20
Tennessee,2132145240.00
Texas,7953251577.00
Utah,807844964.90
Vermont,382073088.00
Virgin Islands,38878520.36
Virginia,2668430091.00
Washington,1775557207.00
West Virginia,813660993.20
Wisconsin,1867581068.00
Wyoming,218406197.30
     Total,119200000000.00
