State or Other Area,2014 Actual
Alabama,2875991323.57
Alaska,425276010.97
American Samoa,31875494.00
Arizona,7477469185.62
Arkansas,1405013759.95
California,16816137362.92
Colorado,2965284073.98
Connecticut,1656657509.70
Delaware,494499653.74
District of Columbia,1781215702.92
Florida,9992845893.93
Freely Associated States,24585867.00
Georgia,5183160669.88
Guam,70992088.00
Hawaii,494017468.88
Idaho,743821754.20
Illinois,743821754.20
Indian set-aside,273856203.00
Indiana,4187494654.71
Iowa,2775868884.06
Kansas,1611277229.20
Kentucky,2346257238.50
Louisiana,2240881517.33
Maine,705625905.79
Maryland,2561599475.75
Massachusetts,3890410363.59
Michigan,5755325241.73
Minnesota,4593669239.97
Mississippi,1560533444.27
Missouri,3573389123.29
Montana,473923372.28
Nebraska,1039436981.86
Nevada,902732832.37
New Hampshire,1210270110.25
New Jersey,3356473984.23
New Mexico,964642121.36
New York,10508839360.03
North Carolina,4317675175.31
North Dakota,414318107.48
Northern Mariana Islands,23639215.00
Ohio,6152376231.40
Oklahoma,1743623228.43
Oregon,2283322909.44
Other,975300352.41
Pennsylvania,7320042265.24
Puerto Rico,2156830908.70
Rhode Island,684170147.87
South Carolina,2293325822.95
South Dakota,628689491.52
Tennessee,3124759155.18
Texas,11254325646.51
Utah,1705293430.03
Vermont,394996828.09
Virgin Islands,42092023.14
Virginia,5108238381.82
Washington,2525362924.23
West Virginia,1325717807.02
Wisconsin,2737880765.99
Wyoming,239440159.10
     Total,172072217995.30
