State or Other Area,2013 Actual
Alabama,2883319880.00
Alaska,443908978.40
American Samoa,32903303.00
Arizona,8189692878.00
Arkansas,1412106992.00
California,15768503224.00
Colorado,3062212570.00
Connecticut,1579567773.00
Delaware,502047740.30
District of Columbia,1861968103.00
Florida,10071335584.00
Freely Associated States,26836115.00
Georgia,5245788392.00
Guam,63357301.17
Hawaii,509054101.70
Idaho,759674746.70
Illinois,7839065368.00
Indian set-aside,272295985.00
Indiana,4205383182.00
Iowa,3960865384.00
Kansas,1513568780.00
Kentucky,2438921454.00
Louisiana,2216834661.00
Maine,657303870.50
Maryland,2509739948.00
Massachusetts,3827930586.00
Michigan,5851569062.00
Minnesota,4584980155.00
Mississippi,1654276503.00
Missouri,3654208980.00
Montana,500145703.60
Nebraska,1052268653.00
Nevada,817172094.30
New Hampshire,924434873.50
New Jersey,3321638019.00
New Mexico,1051517078.00
New York,10311931101.00
North Carolina,4255606957.00
North Dakota,421661584.20
Northern Mariana Islands,20360180.00
Ohio,6421237916.00
Oklahoma,1778587183.00
Oregon,2296863708.00
Other,828980025.20
Pennsylvania,7367054550.00
Puerto Rico,2232064879.00
Rhode Island,649316889.50
South Carolina,2289810378.00
South Dakota,649529202.20
Tennessee,3132834993.00
Texas,11311390683.00
Utah,1717424604.00
Vermont,393893570.00
Virgin Islands,44979653.78
Virginia,4671895920.00
Washington,2477981796.00
West Virginia,1398937899.00
Wisconsin,2756437232.00
Wyoming,246150077.80
     Total,172941000000.00
