State,Education Budget,Unemployment Rate,Population Estimate,SNAPS household_participants,SNAPS individual_participants,SNAPS cost,SNAPS cost_per_person,SNAPS cost_per_household,Median Income,Year,Unnamed: 0,U.S. Rank,% Change,Job Growth (In Thousands),# of Jobs (In Thousands)
Illinois,9151542441.05,10.3,12796778,775019.0,1645722.083,2784473892,140.9956,299.3985,63173,2010,12,36.0,-2.41,-136.5,5517.3
Indiana,4430351596.68,10.2,6459325,347834.6667,813403.4167,1291225153,132.2863,309.3484,57458,2010,13,15.0,-1.31,-36.7,2761.1
Iowa,4200960739.9,6.1,3032870,156529.1667,340303.6667,526119310,128.8357,280.0965,61041,2010,14,18.0,-1.57,-23.1,1449.9
Kansas,1639412700.68,7.0,2832704,122943.3333,269709.5833,402630483,124.4025,272.9106,57352,2010,15,46.0,-3.06,-41.5,1316.8
Kentucky,2562570756.57,10.5,4317074,353226.5833,778113.9167,1186291238,127.0477,279.8702,51188,2010,16,9.0,-1.1,-19.3,1733.1
Louisiana,2335545319.09,7.5,4491648,353494.75,825917.9167,1286198597,129.7747,303.2102,39300,2010,17,23.0,-1.92,-36.9,1884.3
Maine,699844636.55,7.9,1329590,114210.5,229731.0,356097335,129.1718,259.8253,47931,2010,18,7.0,-0.93,-5.4,574.8
Maryland,2751359220.27,7.5,5730388,265796.25,560848.3333,877975713,130.4535,275.2659,79951,2010,19,12.0,-1.21,-30.4,2487.0
Massachusetts,4216387368.92,8.5,6517613,407303.8333,749120.5,1165907744,129.6974,238.5418,75882,2010,20,4.0,-0.73,-23.1,3160.7
Michigan,6717055727.61,12.5,9901591,865508.25,1776367.917,2808763231,131.7653,270.4349,57628,2010,21,35.0,-2.32,-90.0,3784.5
Minnesota,4608090142.47,7.3,5281203,209815.5,430345.75,624886794,121.0048,248.189,65156,2010,22,24.0,-1.94,-50.9,2578.3
Mississippi,1838020863.66,10.4,2958774,247947.3333,575674.3333,846542922,122.5437,284.517,47521,2010,23,21.0,-1.71,-18.9,1087.9
Missouri,3968124334.43,4.7,5961088,408716.9167,901349.25,1361300993,125.8577,277.5558,57057,2010,24,32.0,-2.14,-58.1,2651.4
Montana,555874103.66,7.2,983982,51148.1667,113569.5,176546027,129.5433,287.6382,41280,2010,25,3.0,-0.31,-1.3,418.4
Nebraska,1096751910.68,9.6,1812683,70541.5833,162816.5833,237577180,121.5976,280.6585,65384,2010,26,20.0,-1.63,-15.4,930.9
Nevada,892655776.8,14.9,2684665,128979.25,278105.4167,414596369,124.2324,267.8702,51200,2010,27,50.0,-4.67,-54.3,1108.8
New Hampshire,735167198.66,6.1,1316102,49537.25,104375.3333,151813784,121.2082,255.3866,82979,2010,28,10.0,-1.13,-7.0,614.8
New Jersey,3493151504.81,9.5,8755602,303764.8333,622022.25,1030292837,138.03,282.6454,78415,2010,29,27.0,-2.0,-77.5,3796.6
New Mexico,1120863622.41,8.4,2036802,150795.8333,356821.9167,541806403,126.5352,299.415,56206,2010,30,25.0,-1.95,-15.9,799.5
New York,12795002410.03,8.6,19307066,1463135.333,2757836.0,4984900302,150.6284,283.9166,61993,2010,31,8.0,-0.95,-81.2,8428.4
North Carolina,4424904920.6,10.6,9449566,611325.0833,1346494.833,2072127398,128.2421,282.4639,54582,2010,32,37.0,-2.44,-95.8,3832.3
North Dakota,458969832.64,3.9,664968,27231.75,59888.3333,95014675,132.2109,290.7595,63519,2010,33,1.0,1.5,5.4,366.6
Ohio,7605066446.9,10.1,11528896,751298.8333,1607422.0,2733689660,141.7223,303.2182,57143,2010,34,43.0,-2.62,-133.3,4945.0
Oklahoma,1961296841.23,7.1,3717572,251247.8333,582491.5,899655548,128.708,298.3958,53677,2010,35,42.0,-2.59,-41.1,1544.0
Oregon,2359873142.21,10.8,3808600,373818.9167,705034.9167,1066932095,126.1087,237.8451,63016,2010,36,30.0,-2.05,-33.2,1582.4
Pennsylvania,8439063998.98,8.7,12666858,740185.8333,1574782.5,2332575204,123.4337,262.6114,60166,2010,37,11.0,-1.14,-63.9,5541.5
Rhode Island,807647788.39,11.6,1053646,72839.75,138965.9167,237618372,142.492,271.8506,64287,2010,38,14.0,-1.26,-5.8,452.7
South Carolina,2525717313.92,11.2,4589872,359505.9167,797109.75,1256298352,131.3389,291.2095,51927,2010,39,28.0,-2.03,-37.0,1789.5
South Dakota,598234609.14,4.8,807067,40053.8333,95336.0,153075454,133.8035,318.4786,56478,2010,40,16.0,-1.44,-5.7,391.5
Tennessee,3473788990.42,9.7,6306019,573724.75,1224023.0,1966107581,133.8556,285.5765,38591,2010,41,22.0,-1.88,-49.6,2587.4
Texas,12354590579.17,8.2,24801761,1407082.667,3551580.667,5447397414,127.8163,322.6177,58861,2010,42,13.0,-1.25,-130.0,10302.2
Utah,1622124306.39,7.7,2723421,98804.5,247405.1667,366903456,123.5839,309.4524,70611,2010,43,34.0,-2.27,-27.2,1168.8
Vermont,504029603.45,6.2,624817,42434.3333,85538.1667,124311833,121.1076,244.1259,69648,2010,44,5.0,-0.74,-2.2,296.8
Virginia,4487279644.01,6.9,7925937,364825.0833,786157.25,1213496417,128.6316,277.1868,75176,2010,45,17.0,-1.47,-53.4,3588.1
Washington,2842846379.92,9.6,6667426,474700.75,956003.6667,1386585984,120.8665,243.414,56163,2010,46,39.0,-2.47,-71.1,2801.8
West Virginia,1336927078.41,9.1,1847775,154886.1667,341155.75,486939521,118.9436,261.9878,53271,2010,47,6.0,-0.87,-6.2,704.5
Wisconsin,2915774857.72,8.3,5669264,317015.25,715213.1667,1000496070,116.5732,262.9989,62703,2010,48,31.0,-2.13,-58.1,2665.4
Wyoming,272369090.67,7.0,559851,14472.6667,34799.0,51674879,123.7461,297.5429,65007,2010,49,48.0,-3.43,-9.8,275.9
