State,Education Budget,Unemployment Rate,Population Estimate,SNAPS household_participants,SNAPS individual_participants,SNAPS cost,SNAPS cost_per_person,SNAPS cost_per_household,Median Income,Year,Unnamed: 0,U.S. Rank,% Change,Job Growth (In Thousands),# of Jobs (In Thousands)
Alabama,3061491531.03,9.5,4757938,344787.9167,805095.1667,1226018708,126.902,296.3219,40933,2010,0,29.0,-2.03,-39.0,1879.7
Alaska,427620917.41,8.0,698895,30440.9167,76445.1667,159413978,173.7781,436.4027,72039,2010,1,2.0,0.16,0.5,309.4
Arizona,10181765748.05,10.0,6343154,439364.1667,1018170.667,1587702249,129.9473,301.1363,58400,2010,2,49.0,-3.55,-88.3,2396.7
Arkansas,1542976135.77,7.9,2896843,197624.25,466597.75,686400617,122.5896,289.4384,48053,2010,3,19.0,-1.62,-19.0,1154.0
California,18401548958.99,12.4,36961229,1391359.25,3238547.917,5691851784,146.461,340.9048,67600,2010,4,45.0,-3.04,-443.8,14157.9
Colorado,3383144560.23,8.9,4972195,176289.1667,404678.5,687709379,141.6164,325.0859,75009,2010,5,40.0,-2.52,-56.9,2199.9
Connecticut,1685550602.52,9.1,3561807,180462.9167,336064.4167,569684382,141.2637,263.0662,82189,2010,6,47.0,-3.14,-51.4,1587.6
Delaware,529740270.36,8.5,891730,50507.0,112513.0833,171155272,126.7669,282.3953,68759,2010,7,44.0,-2.72,-11.3,403.9
Florida,10463075106.31,11.5,18652644,1370563.25,2603185.25,4416942533,141.3954,268.5601,54876,2010,8,38.0,-2.44,-179.9,7195.3
Georgia,6605891174.71,10.2,9620846,681782.25,1591078.25,2565169527,134.3517,313.5372,54940,2010,9,41.0,-2.58,-101.5,3827.2
Hawaii,531380063.69,6.6,1346717,69401.5,138165.9167,358144853,216.0113,430.0398,74145,2010,10,33.0,-2.16,-13.0,588.6
Idaho,835840128.81,9.3,1554439,78378.1667,194033.3333,299552014,128.6514,318.4901,47050,2010,11,26.0,-1.97,-11.9,591.8
