state,household_participants,individual_participants,cost,cost_per_person,cost_per_household
Connecticut,235305.5,410344.4167,653086669,231.2903417,132.629775
Maine,93390.5,179734.1667,234405832,209.1628083,108.681725
Massachusetts,445839.75,766115.5833,1159027643,216.6375667,126.0718833
New Hampshire,45859.25,92456.5833,112617204,204.6428333,101.5045833
New York,1610722.583,2910894,4737481755,245.1012667,135.62505
Rhode Island,97101.5833,164410.4167,269949378,231.67265,136.8269833
Vermont,42087.1667,76558.3333,112961944,223.6666417,122.9584667
Delaware,71464.5,146805.4167,210706049,245.7001333,119.6061917
District of Columbia,71742.8333,119103.5833,200333265,232.69835,140.1673917
Maryland,359112.25,684281.9167,987124236,229.06585,120.214125
New Jersey,407229.8333,817979.25,1115682640,228.307325,113.6624833
Pennsylvania,951410.5,1842945.083,2673354132,234.1570833,120.8823417
Virginia,367230.5,775548.0833,1115536652,253.1417917,119.8654083
West Virginia,171913.4167,340307.6667,481164574,233.2397833,117.825875
Alabama,375918.8333,804336,1161155532,257.4038667,120.3016667
Florida,1690925.917,3186536.833,4783367429,235.7370917,125.0931583
Georgia,756157.6667,1625414.75,2540245442,279.9510333,130.2357583
Kentucky,308457.8333,654873.25,943688786,254.9480833,120.085425
Mississippi,244489.75,537369.8333,742934749,253.226275,115.2115833
North Carolina,731363.5833,1453826.833,2140406972,243.8831417,122.6881
South Carolina,337213.1667,719977.3333,1066150932,263.4710583,123.4009833
Tennessee,512908.5,1047057.583,1586711088,257.7963167,126.2833333
Illinois,976672,1878519,2930325381,250.0264,129.9927167
Indiana,297486,671985.6667,955393220,267.6297417,118.4788667
Iowa,172869.0833,365892.5,482469098,232.5792333,109.884075
Michigan,728586.3333,1375434.167,2069172718,236.6652417,125.364825
Minnesota,222673.9167,453563.5833,601821006,225.225075,110.5727
Ohio,746747,1501795.25,2226190303,248.4320083,123.5293917
Wisconsin,343582.0833,691634.6667,877506140,212.832725,105.728525
Arizona,412988.9167,918727.6667,1335235066,269.425125,121.1127
Arkansas,170643.6667,388362.0833,510832029,249.4633167,109.6124917
Louisiana,429811.4167,928961.9167,1440110876,279.2137083,129.1863917
New Mexico,217355.8333,460533.8333,669640046,256.7372417,121.1709833
Oklahoma,273898.0833,603896.1667,879725084,267.65585,121.3957417
Texas,1646209.167,3921277.5,5805152020,293.8646417,123.3686417
Utah,82772.0833,206298.6667,286288642,288.2298667,115.6448917
Colorado,221884.75,459247.3333,701946211,263.6301833,127.3725833
Kansas,108119,233777.5,318488850,245.4770917,113.5299083
Missouri,351512.5833,758918.1667,1116216424,264.6222083,122.566625
Montana,57589.3333,120888.5,172035838,248.9405417,118.5912583
Nebraska,78872.4167,175848.6667,241772391,255.4467083,114.5740833
North Dakota,25239.5833,53748.25,77842534,257.0120833,120.690025
South Dakota,41316.1667,93258.5,140613366,283.6124833,125.6483917
Wyoming,14101.6667,32838.5,46791729,276.514175,118.74205
Alaska,38631.5,89112.5833,191442132,412.9663917,179.0264667
California,1987758,4112066,6732719405,282.257675,136.44235
Hawaii,85869.4167,169045,479722381,465.5541667,236.486525
Idaho,74534.3333,171250.8333,233881652,261.492075,113.8104667
Nevada,225336.8333,440613.8333,625062614,231.1586167,118.21815
Oregon,388364.1667,680670.5833,1009209337,216.5513333,123.5557667
Washington,520497.5833,929485.6667,1363774904,218.3447417,122.269675
