state,household_participants,individual_participants,cost,cost_per_person,cost_per_household
Connecticut,94146.5833,180511.75,164854160,76.105,145.9198
Maine,65760.3333,132581.5,124070012,77.9835,157.225
Massachusetts,135195.1667,292199.5833,253770540,72.3736,156.4223
New Hampshire,22149.5833,44783.3333,39886906,74.222,150.0664
New York,724420.1667,1435986,1676508940,97.2914,192.8564
Rhode Island,34121,74068.0833,68800619,77.407,168.031
Vermont,20519.4167,41332.75,37629392,75.8668,152.8203
Delaware,19140.9167,46027.0833,47791321,86.5275,208.0679
District of Columbia,39104.4167,81777.25,90113910,91.8286,192.0369
Maryland,114990.75,252383,256924246,84.8328,186.192
New Jersey,157873.6667,339047.1667,338821016,83.2777,178.8461
Pennsylvania,373596.9167,822696.25,785458544,79.5614,175.2019
Virginia,173690.5,392515,366217567,77.7502,175.7041
West Virginia,105365.3333,246889.75,216064512,72.9288,170.8852
Alabama,185027.9167,472066.25,466123805,82.2843,209.934
Florida,502668.9167,1041314.833,987756897,79.0473,163.7521
Georgia,314686.8333,750207.6667,782410897,86.9105,207.193
Kentucky,209532,502676.75,486231294,80.607,193.3799
Mississippi,142640.9167,355782.5,335073821,78.4828,195.756
North Carolina,276320.5833,649425.6667,645418451,82.8191,194.6466
South Carolina,184770.5833,450556.25,443355574,82.0015,199.9577
Tennessee,314791.5,728304.75,721795073,82.5885,191.0776
Illinois,422486.5833,953929.1667,1052739082,91.9652,207.6474
Indiana,196688.5,470183.0833,483700392,85.7291,204.935
Michigan,364166.1667,837628.5,783076440,77.9061,179.1939
Minnesota,110088.0833,234630.6667,227125549,80.6678,171.9271
Ohio,379353.9167,855401.4167,878758371,85.6088,193.0384
Wisconsin,119454.6667,296717.3333,233462771,65.5682,162.8671
Arkansas,124287.5,310359.4167,304339830,81.717,204.0563
Louisiana,250387.9167,655300.1667,685267266,87.1442,228.0685
New Mexico,74645.25,194795.0833,183505381,78.5036,204.8639
Oklahoma,152859.8333,380298.75,362454708,79.4232,197.5964
Texas,717237.75,1872472.583,1880851630,83.7062,218.5295
Colorado,90096,208053.25,203312158,81.4343,188.0514
Iowa,66436.3333,153815.5833,149243938,80.8565,187.2017
Kansas,70844.5,160705.1667,140386993,72.7974,165.1351
Missouri,247828,582006,567586196,81.2687,190.8535
Montana,30208.0833,71320.0833,68950097,80.5641,190.2087
Nebraska,42506.5,99243.25,89301593,74.9854,175.0744
North Dakota,17272.75,39663.25,36702541,77.1128,177.0734
South Dakota,20018.0833,51175.9167,50515052,82.2572,210.2892
Utah,41281.8333,105630.4167,102205565,80.6314,206.3167
Wyoming,10205.3333,25306,24054276,79.2114,196.4192
Alaska,17797.0833,50687.0833,65728367,108.0623,307.7675
Arizona,181144.8333,466151.25,497638214,88.9622,228.932
California,661262.3333,1708521.5,1805546523,88.0657,227.5379
Hawaii,48766.3333,100381.5,156191451,129.6649,266.9045
Idaho,32428.4167,81523.9167,76579605,78.2793,196.7914
Nevada,49213.75,111352,112673472,84.3223,190.7893
Oregon,199204.8333,398377,380986642,79.6956,159.3781
Washington,192734.8333,403991.5,394382981,81.3513,170.5205
