state,household_participants,individual_participants,cost,cost_per_person,cost_per_household
Connecticut,205771.5833,378677.0833,647390087,142.4675,262.1799
Maine,126183.8333,247943.25,382131426,128.4338,252.3642
Massachusetts,447065.9167,813630.9167,1291609491,132.2886,240.7567
New Hampshire,54133.8333,113407,162679478,119.5396,250.4279
New York,1600689.75,2999990.583,5350660541,148.6299,278.5602
Rhode Island,86368.25,160201.0833,274736117,142.9121,265.0821
Vermont,46238.5833,92037.75,134856526,122.1025,243.0447
Delaware,61876.8333,134926.8333,205304944,126.8002,276.4968
District of Columbia,76075.3333,134845.0833,229250674,141.6753,251.1224
Maryland,328327.5833,667737.9167,1035175750,129.1894,262.7396
New Jersey,370887.0833,759136.0833,1213993288,133.2648,272.7679
Pennsylvania,815764.5833,1718210.667,2647473519,128.4026,270.4491
Virginia,406811.1667,858782.1667,1335038906,129.5477,273.4764
West Virginia,160721,345955.4167,497390191,119.8108,257.8953
Alabama,404792.5,920364.75,1492961298,135.1784,307.3512
Florida,1659063.167,3074670.5,5148715738,139.5465,258.6156
Georgia,789785.0833,1780039.25,2891615163,135.3723,305.1057
Kentucky,381739.5833,823471.8333,1260888769,127.5989,275.2506
Mississippi,273029.4167,622596.4167,921109139,123.2887,281.1386
North Carolina,734482.3333,1590068.917,2377093020,124.5802,269.7016
South Carolina,390936.4167,844404.6667,1339644859,132.208,285.5632
Tennessee,611502,1275789.75,2048637590,133.815,279.1811
Illinois,859784.8333,1793886.417,2995469012,139.1517,290.3313
Indiana,381216.5,877559.8333,1386478333,131.6604,303.082
Michigan,967565.6667,1928477.667,3151479174,136.1816,271.4268
Minnesota,245585.3333,505918.6667,698408893,115.0397,236.9879
Ohio,847376.5,1779237,2986317777,139.8688,293.6827
Wisconsin,370371.8333,801072.9167,1117802969,116.2819,251.5047
Arkansas,210670,486451.0833,722195399,123.7184,285.674
Louisiana,388515.8333,884518.6667,1386115227,130.5903,297.3099
New Mexico,179006.9167,414274.75,631681353,127.0657,294.0675
Oklahoma,272189.0833,614703.6667,947338484,128.4275,290.0369
Texas,1608475.917,3977272.667,5993125493,125.5703,310.4971
Colorado,200063.5833,453103,762800608,140.292,317.7326
Iowa,173186,373855.5833,566732507,126.3261,272.6993
Kansas,138909.5,298642.0833,452767878,126.3407,271.6204
Missouri,433898.8333,943088,1437886768,127.0548,276.1563
Montana,57132.5,124242.9167,193310950,129.6593,281.9629
Nebraska,76182.5833,174203.9167,256477504,122.6903,280.5513
North Dakota,27892.5,60902.0833,95918344,131.2467,286.5715
South Dakota,43585.25,101817.25,162135500,132.7014,309.9969
Utah,111799,283970.75,401261439,117.7532,299.0944
Wyoming,15341.4167,36030.9167,53162213,122.9551,288.7728
Alaska,35072.1667,86044.0833,176385311,170.8284,419.1009
Arizona,465374.8333,1067616.5,1648821864,128.6996,295.2498
California,1612825.083,3672980.083,6481947277,147.0638,334.9168
Hawaii,79624.3333,159644.4167,412604147,215.3766,431.8238
Idaho,96372.3333,228628.9167,361999149,131.9457,313.0213
Nevada,156319.0833,332958.75,496867234,124.3566,264.8787
Oregon,419693.1667,772756.25,1189202056,128.2425,236.1253
Washington,543532.5833,1054693.167,1602557358,126.6211,245.7009
