DATE,Median Income,State,Year
2014-01-01,51461,arkansas,2014
2014-01-01,40692,mississippi,2014
2014-01-01,77473,alaska,2014
2014-01-01,69811,colorado,2014
2014-01-01,75785,virginia,2014
2014-01-01,56870,ohio,2014
2014-01-01,67445,oregon,2014
2014-01-01,53438,idaho,2014
2014-01-01,62910,illinois,2014
2014-01-01,61468,united states,2014
2014-01-01,64873,missouri,2014
2014-01-01,61224,kansas,2014
2014-01-01,84081,new hampshire,2014
2014-01-01,51710,maine,2014
2014-01-01,60776,south dakota,2014
2014-01-01,63204,pennsylvania,2014
2014-01-01,62216,new york,2014
2014-01-01,72609,utah,2014
2014-01-01,66225,iowa,2014
2014-01-01,55056,indiana,2014
2014-01-01,74740,new jersey,2014
2014-01-01,81591,hawaii,2014
2014-01-01,54069,oklahoma,2014
2014-01-01,87252,maryland,2014
2014-01-01,77032,minnesota,2014
2014-01-01,53482,new mexico,2014
2014-01-01,65895,delaware,2014
2014-01-01,69570,north dakota,2014
2014-01-01,65148,nebraska,2014
2014-01-01,53594,north carolina,2014
2014-01-01,42406,louisiana,2014
2014-01-01,63796,wyoming,2014
2014-01-01,56768,georgia,2014
2014-01-01,51102,montana,2014
2014-01-01,49875,nevada,2014
2014-01-01,69292,california,2014
2014-01-01,72344,massachusetts,2014
2014-01-01,42278,alabama,2014
2014-01-01,56424,arizona,2014
2014-01-01,59068,washington,2014
2014-01-01,80374,connecticut,2014
2014-01-01,67168,rhode island,2014
2014-01-01,43716,tennessee,2014
2014-01-01,45309,west virginia,2014
2014-01-01,61717,texas,2014
2014-01-01,51469,south carolina,2014
2014-01-01,49014,kentucky,2014
2014-01-01,69545,vermont,2014
2014-01-01,66534,wisconsin,2014
2014-01-01,52856,florida,2014
2014-01-01,59575,michigan,2014
