DATE,Median Income,State
2002-01-01,64364,kansas
2003-01-01,65317,kansas
2004-01-01,59046,kansas
2005-01-01,58448,kansas
2006-01-01,61361,kansas
2007-01-01,63527,kansas
2008-01-01,60395,kansas
2009-01-01,56606,kansas
2010-01-01,57352,kansas
2011-01-01,55712,kansas
2012-01-01,59115,kansas
2013-01-01,55709,kansas
2014-01-01,61224,kansas
2015-01-01,62743,kansas
2016-01-01,64140,kansas
2017-01-01,62889,kansas
2018-01-01,68987,kansas
2019-01-01,77523,kansas
2000-01-01,80346,newhampshire
2001-01-01,78743,newhampshire
2002-01-01,83547,newhampshire
2003-01-01,82055,newhampshire
2004-01-01,81691,newhampshire
2005-01-01,79249,newhampshire
2006-01-01,83477,newhampshire
2007-01-01,88519,newhampshire
2008-01-01,83478,newhampshire
2009-01-01,81181,newhampshire
2010-01-01,82979,newhampshire
2011-01-01,79534,newhampshire
2012-01-01,80177,newhampshire
2013-01-01,80498,newhampshire
2014-01-01,84081,newhampshire
2015-01-01,86541,newhampshire
2016-01-01,86100,newhampshire
2017-01-01,83591,newhampshire
2018-01-01,87769,newhampshire
2019-01-01,92093,newhampshire
2000-01-01,37266,maine
2001-01-01,36612,maine
2002-01-01,36853,maine
2003-01-01,37113,maine
2004-01-01,41329,maine
2005-01-01,43923,maine
2006-01-01,45642,maine
2007-01-01,47894,maine
2008-01-01,47228,maine
2009-01-01,47502,maine
2010-01-01,47931,maine
2011-01-01,49693,maine
2012-01-01,49158,maine
2013-01-01,54957,maine
2014-01-01,51710,maine
2015-01-01,50756,maine
2016-01-01,50856,maine
2017-01-01,53316,maine
2018-01-01,58663,maine
2019-01-01,66546,maine
2000-01-01,57547,southdakota
2001-01-01,60856,southdakota
2002-01-01,57197,southdakota
2003-01-01,58362,southdakota
2004-01-01,59105,southdakota
2005-01-01,60011,southdakota
2006-01-01,61193,southdakota
2007-01-01,60804,southdakota
2008-01-01,65091,southdakota
2009-01-01,58009,southdakota
2010-01-01,56478,southdakota
2011-01-01,57011,southdakota
2012-01-01,58420,southdakota
2013-01-01,62224,southdakota
2014-01-01,60776,southdakota
2015-01-01,62972,southdakota
2016-01-01,64863,southdakota
2017-01-01,62905,southdakota
2018-01-01,64158,southdakota
2019-01-01,68095,southdakota
2000-01-01,66541,pennsylvania
2001-01-01,66729,pennsylvania
2002-01-01,64181,pennsylvania
2003-01-01,63398,pennsylvania
2004-01-01,63417,pennsylvania
2005-01-01,64391,pennsylvania
2006-01-01,65302,pennsylvania
2007-01-01,63448,pennsylvania
2008-01-01,64842,pennsylvania
2009-01-01,60979,pennsylvania
2010-01-01,60166,pennsylvania
2011-01-01,60254,pennsylvania
2012-01-01,61362,pennsylvania
2013-01-01,64255,pennsylvania
2014-01-01,63204,pennsylvania
2015-01-01,69061,pennsylvania
2016-01-01,68847,pennsylvania
2017-01-01,67736,pennsylvania
2018-01-01,69619,pennsylvania
2019-01-01,74800,pennsylvania
2000-01-01,64282,newyork
2001-01-01,64604,newyork
2002-01-01,63378,newyork
2003-01-01,63184,newyork
2004-01-01,64198,newyork
2005-01-01,65609,newyork
2006-01-01,64958,newyork
2007-01-01,64112,newyork
2008-01-01,63655,newyork
2009-01-01,63567,newyork
2010-01-01,61993,newyork
2011-01-01,61131,newyork
2012-01-01,56368,newyork
2013-01-01,58209,newyork
2014-01-01,62216,newyork
2015-01-01,66334,newyork
2016-01-01,69364,newyork
2017-01-01,68021,newyork
2018-01-01,72586,newyork
