State,Education Budget,Unemployment Rate,Population Estimate,SNAPS household_participants,SNAPS individual_participants,SNAPS cost,SNAPS cost_per_person,SNAPS cost_per_household,Median Income,U.S. Rank,% Change,Job Growth (In Thousands),# of Jobs (In Thousands),GDP
Alabama,2831684185.0,4.4,4874486,375918.8333,804336.0,1161155532,257.4038667,120.3016667,50865,25.0,1.23,24.2,1999.0,196970000000.0
Alaska,403601682.9,7.2,739700,38631.5,89112.5833,191442132,412.9663917,179.0264667,86196,49.0,-1.52,-4.9,317.2,54280000000.0
Arizona,5077168472.0,4.9,7044008,412988.9167,918727.6667,1335235066,269.425125,121.1127,65984,6.0,2.44,65.8,2758.9,303610000000.0
Arkansas,1376380456.0,3.7,3001345,170643.6667,388362.0833,510832029,249.4633167,109.6124917,54988,24.0,1.3,15.9,1236.5,113850000000.0
California,17084027581.0,4.8,39358497,1987758.0,4112066.0,6732719405,282.257675,136.44235,77410,13.0,1.97,320.2,16582.0,2538200000000.0
Colorado,2765702017.0,2.8,5611885,221884.75,459247.3333,701946211,263.6301833,127.3725833,82877,11.0,2.11,54.0,2612.4,329910000000.0
Connecticut,1773331356.0,4.7,3573297,235305.5,410344.4167,653086669,231.2903417,132.629775,82125,40.0,0.31,5.2,1671.7,247040000000.0
Delaware,459555434.4,4.6,956823,71464.5,146805.4167,210706049,245.7001333,119.6061917,71799,26.0,1.22,5.4,446.4,60360000000.0
Florida,8794744245.0,4.2,20963613,1690925.917,3186536.833,4783367429,235.7370917,125.0931583,58674,4.0,2.83,235.4,8548.1,912690000000.0
Georgia,5109231256.0,4.7,10410330,756157.6667,1625414.75,2540245442,279.9510333,130.2357583,64089,9.0,2.18,93.9,4398.9,523810000000.0
Hawaii,468240243.5,2.4,1424393,85869.4167,169045.0,479722381,465.5541667,236.486525,81346,23.0,1.38,8.9,653.4,78950000000.0
Idaho,689728417.7,3.2,1717715,74534.3333,171250.8333,233881652,261.492075,113.8104667,59497,3.0,2.98,20.1,695.4,66940000000.0
Illinois,7170081651.0,5.0,12778828,976672.0,1878519.0,2930325381,250.0264,129.9927167,72913,37.0,0.56,32.8,5929.4,753030000000.0
Indiana,3319401466.0,3.5,6658078,297486.0,671985.6667,955393220,267.6297417,118.4788667,64953,29.0,1.0,30.4,3055.4,325000000000.0
Iowa,2230980596.0,3.1,3141550,172869.0833,365892.5,482469098,232.5792333,109.884075,70148,41.0,0.25,3.8,1547.5,170890000000.0
Kansas,1486510033.0,3.6,2908718,108119.0,233777.5,318488850,245.4770917,113.5299083,62889,42.0,0.21,2.9,1395.8,155510000000.0
Kentucky,2209055707.0,4.9,4452268,308457.8333,654873.25,943688786,254.9480833,120.085425,54901,31.0,0.9,16.9,1892.8,185920000000.0
Louisiana,2328611993.0,5.1,4670560,429811.4167,928961.9167,1440110876,279.2137083,129.1863917,43565,43.0,-0.07,-1.3,1970.8,233350000000.0
Maine,689862463.1,3.3,1334612,93390.5,179734.1667,234405832,209.1628083,108.681725,53316,30.0,0.94,5.6,600.8,56470000000.0
Maryland,2511350458.0,4.1,6023868,359112.25,684281.9167,987124236,229.06585,120.214125,90734,16.0,1.67,44.1,2679.7,366200000000.0
Massachusetts,4117827769.0,3.7,6859789,445839.75,766115.5833,1159027643,216.6375667,126.0718833,84269,19.0,1.52,52.7,3523.8,482810000000.0
Michigan,5020924872.0,4.6,9973114,728586.3333,1375434.167,2069172718,236.6652417,125.364825,62342,17.0,1.54,65.3,4304.5,457610000000.0
Minnesota,3942624446.0,3.5,5566230,222673.9167,453563.5833,601821006,225.225075,110.5727,77341,15.0,1.69,47.8,2880.7,327480000000.0
Mississippi,1595376188.0,5.1,2988510,244489.75,537369.8333,742934749,253.226275,115.2115833,47837,39.0,0.34,3.9,1147.2,101250000000.0
Missouri,3274176259.0,3.8,6106670,351512.5833,758918.1667,1116216424,264.6222083,122.566625,62481,18.0,1.52,42.6,2843.3,281250000000.0
Montana,489940010.0,4.0,1052482,57589.3333,120888.5,172035838,248.9405417,118.5912583,57407,33.0,0.86,3.9,459.8,45970000000.0
Nebraska,1018198232.0,2.9,1915947,78872.4167,175848.6667,241772391,255.4467083,114.5740833,65855,34.0,0.81,8.1,1004.2,114140000000.0
Nevada,813339835.1,5.0,2969905,225336.8333,440613.8333,625062614,231.1586167,118.21815,58041,1.0,3.37,42.8,1314.0,145490000000.0
New Hampshire,1307252727.0,2.7,1348787,45859.25,92456.5833,112617204,204.6428333,101.5045833,83591,32.0,0.88,5.8,661.7,73970000000.0
New Jersey,3426006491.0,4.6,8885525,407229.8333,817979.25,1115682640,228.307325,113.6624833,78739,14.0,1.69,66.9,4029.9,537580000000.00006
New Mexico,864148148.9,6.2,2091784,217355.8333,460533.8333,669640046,256.7372417,121.1709833,50401,45.0,-0.22,-1.8,822.0,88960000000.0
New York,11454985934.0,4.7,19589572,1610722.583,2910894.0,4737481755,245.1012667,135.62505,68021,21.0,1.5,139.2,9396.3,1419110000000.0
North Carolina,4355257718.0,4.6,10268233,731363.5833,1453826.833,2140406972,243.8831417,122.6881,54762,10.0,2.14,91.2,4358.2,495220000000.0
North Dakota,390821271.0,2.6,754942,25239.5833,53748.25,77842534,257.0120833,120.690025,66500,48.0,-1.21,-5.2,424.0,54190000000.0
Ohio,5523290838.0,5.0,11659650,746747.0,1501795.25,2226190303,248.4320083,123.5293917,67076,28.0,1.08,58.0,5427.2,593640000000.0
Oklahoma,1745468226.0,4.3,3931316,273898.0833,603896.1667,879725084,267.65585,121.3957417,57343,47.0,-0.8,-13.2,1638.9,194020000000.0
Oregon,1956703581.0,4.1,4143625,388364.1667,680670.5833,1009209337,216.5513333,123.5557667,69077,8.0,2.31,41.9,1853.4,205520000000.0
Pennsylvania,7583396339.0,4.9,12787641,951410.5,1842945.083,2673354132,234.1570833,120.8823417,67736,27.0,1.1,63.4,5849.3,694870000000.0
Rhode Island,769185793.9,4.5,1055673,97101.5833,164410.4167,269949378,231.67265,136.8269833,72285,36.0,0.64,3.1,485.2,52690000000.0
South Carolina,2276562599.0,4.3,5021268,337213.1667,719977.3333,1066150932,263.4710583,123.4009833,60278,7.0,2.43,48.9,2064.0,202510000000.0
South Dakota,575346282.5,3.3,872868,41316.1667,93258.5,140613366,283.6124833,125.6483917,62905,38.0,0.55,2.3,422.9,45780000000.0
Tennessee,3092690181.0,3.7,6708799,512908.5,1047057.583,1586711088,257.7963167,126.2833333,55306,12.0,2.03,59.3,2977.4,318960000000.0
Texas,11326225425.0,4.3,28295273,1646209.167,3921277.5,5805152020,293.8646417,123.3686417,66417,20.0,1.51,180.1,12093.4,1659450000000.0
Utah,1657822174.0,3.2,3101042,82772.0833,206298.6667,286288642,288.2298667,115.6448917,77135,2.0,3.03,42.4,1441.3,154760000000.0
Vermont,448797739.4,3.0,624344,42087.1667,76558.3333,112961944,223.6666417,122.9584667,70385,44.0,-0.16,-0.5,312.4,29490000000.0
Virginia,4404295843.0,3.8,8463587,367230.5,775548.0833,1115536652,253.1417917,119.8654083,78265,22.0,1.39,53.6,3904.7,467360000000.0
Washington,2475003234.0,4.8,7423362,520497.5833,929485.6667,1363774904,218.3447417,122.269675,71540,5.0,2.49,78.9,3251.0,482010000000.0
West Virginia,1195333433.0,5.2,1817004,171913.4167,340307.6667,481164574,233.2397833,117.825875,51900,46.0,-0.27,-1.9,698.8,71430000000.0
Wisconsin,2443197825.0,3.3,5790186,343582.0833,691634.6667,877506140,212.832725,105.728525,70164,35.0,0.79,22.8,2892.5,291920000000.0
Wyoming,231855269.7,4.2,578931,14101.6667,32838.5,46791729,276.514175,118.74205,65803,50.0,-2.58,-7.3,275.1,37520000000.0
