state,household_participants,individual_participants,cost,cost_per_person,cost_per_household
Connecticut,223244.4167,387328.8333,614967955,229.55705,132.3096167
Maine,89089.0833,167857.6667,218217647,204.119325,108.3346667
Massachusetts,451071.5833,770565.5,1159118509,214.1416417,125.3536667
New Hampshire,43489.25,86501.6667,101469828,194.4346917,97.75325
New York,1565541.25,2796620.167,4526970965,240.969425,134.8941083
Rhode Island,94204.8333,158986.1667,259191919,229.28045,135.8566417
Vermont,40933.5833,73057.5833,106782062,217.3888667,121.80125
Delaware,68554.1667,140297.5,196899033,239.347275,116.9532833
District of Columbia,68854.8333,112282.0833,188433398,228.0563667,139.8511917
Maryland,343933.4167,646483.25,910098604,220.5123083,117.314025
New Jersey,379343.1667,760303.1667,1012654300,222.4578333,110.9923833
Pennsylvania,956434.5,1818588.833,2592183684,225.8547833,118.781825
Virginia,352312.6667,736220.9167,1051800978,248.784925,119.05405
West Virginia,165378.4167,321008.8333,440298715,221.8642583,114.300775
Alabama,360067,766680.5833,1084563290,251.0096,117.885175
Florida,1747853.083,3347518.333,5763762595,274.8020167,143.483475
Georgia,721490.5833,1556452.417,2336788286,269.9028417,125.11295
Kentucky,285763.3333,615305.3333,853986982,249.0367833,115.658975
Mississippi,231847.3333,505308.3333,679722657,244.314025,112.0970167
North Carolina,643153.4167,1344484.5,1919051873,248.6513833,118.94595
South Carolina,307859.1667,658119.0833,943922431,255.5071,119.52275
Tennessee,471342.0833,970875,1424890904,251.920875,122.3029833
Illinois,920271.4167,1826010.917,2777948512,251.5515583,126.7767417
Indiana,275367.9167,617032.4167,867533147,262.5375917,117.1647167
Iowa,165116,345406.0833,446259982,225.2254917,107.6655417
Michigan,684001.0833,1281861.5,1894038446,230.7548083,123.130725
Minnesota,212453.25,428986,544420005,213.545025,105.7571417
Ohio,710023.5,1421365.583,2078237006,243.9164583,121.8450917
Wisconsin,329203,652884.5833,816882114,206.782775,104.2657667
Arizona,387657.1667,845732.5,1210429898,260.2019667,119.2683917
Arkansas,164761.3333,372451.1667,480472657,243.0144667,107.5023833
Louisiana,403387.9167,867341.5833,1297321641,268.0053917,124.6454
New Mexico,220341.25,456250.5833,638421821,241.451925,116.606575
Oklahoma,268710.5833,585064,832653493,258.225,118.5986333
Texas,1636052.25,3895206.833,5525177455,281.4283333,118.204625
Utah,77795.0833,189092.6667,258536027,276.9412667,113.9370917
Colorado,221726.4167,449823.8333,668610833,251.289725,123.8653083
Kansas,101445.8333,217419.5833,293539988,241.1303167,112.509025
Missouri,342323.3333,736590.3333,1061334229,258.3654417,120.072875
Montana,56024.5833,115222.8333,158389738,235.5955917,114.5532083
Nebraska,76451.1667,169811.0833,229206174,249.8394083,112.4809667
North Dakota,25071.5833,52621,75391175,250.5864083,119.3933583
South Dakota,39968.3333,87409.8333,131112641,273.36775,124.9979917
Wyoming,12988.8333,29330.1667,40676283,260.9695667,115.5701
Alaska,40515.5,91995,187357117,385.3609833,169.7167583
California,1946002.75,3949534.917,6332717643,271.18485,133.6173667
Hawaii,83818.5833,163617.5,469433045,466.7153583,239.0906833
Idaho,70062.0833,157858.1667,199514037,237.3062417,105.3234667
Nevada,228289.5,439940.6667,614241940,224.2189333,116.3493917
Oregon,365382.3333,633970.0833,937798988,213.8853167,123.2706667
Washington,501867.9167,877243.9167,1268734555,210.6687333,120.5227833
