state,household_participants,individual_participants,cost,cost_per_person,cost_per_household
Connecticut,120572.75,225383.1667,284829257,105.313,196.8585
Maine,86459.1667,173039.0833,196264502,94.5184,189.1688
Massachusetts,266429.8333,505781.75,586587498,96.647,183.4715
New Hampshire,31244.0833,63582.8333,71404026,93.584,190.4468
New York,1036676.083,1952990.667,2572842848,109.7822,206.8183
Rhode Island,41547.5833,84867.8333,107719391,105.7717,216.0563
Vermont,27642.1667,55846.6667,62169303,92.7679,187.4229
Delaware,32512.0833,74429.3333,86180751,96.4906,220.8942
District of Columbia,47720.8333,89441.6667,112324800,104.6537,196.1491
Maryland,167174.4167,359985.3333,432043737,100.0142,215.3658
New Jersey,210867.4167,437860.25,532944902,101.4298,210.6161
Pennsylvania,558938.9167,1187822.333,1386964117,97.3044,206.7853
Virginia,245591.6667,545079.3333,610021737,93.2619,206.9905
West Virginia,124182.75,276800.0833,304122744,91.5591,204.0828
Alabama,231739.75,571591.0833,663901057,96.7914,238.738
Florida,745846.5833,1454928.167,1778641937,101.8746,198.7274
Georgia,417426.8333,1021154.5,1276750098,104.1917,254.885
Kentucky,283752.4167,633193.75,742037605,97.6581,217.924
Mississippi,188498.1667,447181.3333,496847694,92.5888,219.6519
North Carolina,419127,946978.0833,1104399962,97.1863,219.5834
South Carolina,255702.3333,589762.8333,706792219,99.8696,230.3434
Tennessee,410458.0833,911253.4167,1114791337,101.9467,226.3307
Illinois,595832.4167,1299443.25,1718280001,110.1933,240.3193
Indiana,267802.4167,623415.1667,772883186,103.3131,240.5017
Michigan,590929.6667,1256372.5,1506032208,99.8929,212.3818
Minnesota,140427,293928.0833,329569307,93.4382,195.5757
Ohio,526799.5,1150927.583,1494661229,108.2215,236.4374
Wisconsin,180791.8333,422781,430028455,84.7619,198.2153
Arkansas,157870.5833,377882.75,431547807,95.1679,227.7962
Louisiana,324887.0833,790732.5833,1025182241,108.0414,262.9586
New Mexico,95769,239958.6667,269188961,93.4845,234.2346
Oklahoma,176482.6667,419037.9167,491362648,97.7164,232.0165
Texas,994785.8333,2532046.917,3068232722,100.98,257.0262
Colorado,109405.1667,252932.5833,325104191,107.1116,247.6301
Iowa,117632.1667,258172.6667,305655259,98.6598,216.5332
Kansas,85784.0833,187568.9167,211265341,93.8612,205.2297
Missouri,312475.6667,701304.4167,810471619,96.3053,216.1426
Montana,35494.4167,80407.0833,94225210,97.6543,221.2207
Nebraska,52081.5,120808.9167,140752738,97.0905,225.2123
North Dakota,21824.6667,48411.8333,59266579,102.0181,226.2981
South Dakota,26189.25,62945.25,78001007,103.2657,248.1966
Utah,53715.4167,134180.1667,150960595,93.7549,234.1981
Wyoming,9563.8333,22607.8333,26389959,97.2744,229.9458
Alaska,21975.5,56977,94262437,137.8662,357.4528
Arizona,258517,627660.3333,772440411,102.5555,248.9973
California,914160.5,2220127.083,2995179522,112.4252,273.0355
Hawaii,48824.4167,96551.0833,184612461,159.3392,315.0959
Idaho,40834.5833,100197.5,116567714,96.9483,237.886
Nevada,67380.25,144494.1667,169714444,97.8785,209.8964
Oregon,243256.5,469315.1667,542197277,96.2745,185.7426
Washington,292514.75,581001.4167,680799184,97.6474,193.9501
