state,household_participants,individual_participants,cost,cost_per_person,cost_per_household
Connecticut,242982.0833,438558.8333,697435672,132.5242,239.1931
Maine,122690.4167,230535.5833,321550513,116.2331,218.4024
Massachusetts,489039.4167,863411.9167,1272977488,122.8631,216.918
New Hampshire,53559,111701.3333,140718624,104.9813,218.9464
New York,1698559.25,3122878.833,5200758093,138.7811,255.1554
Rhode Island,101002.25,178517.8333,279843287,130.6327,230.8887
Vermont,48574.6667,92999.6667,130324476,116.7786,223.581
Delaware,71408,150232.3333,220352805,122.2289,257.1523
District of Columbia,80360.25,142706.9167,222604041,129.9891,230.8397
Maryland,403781.3333,787597.25,1133135874,119.8938,233.8592
New Jersey,439694.5,883434.4167,1290688313,121.7491,244.6184
Pennsylvania,889725.1667,1796154.333,2573657445,119.4059,241.0536
Virginia,443606.5833,918902.0833,1303281631,118.1919,244.8269
West Virginia,176028.6667,362500.8333,476134200,109.4559,225.4056
Alabama,419552,902073.1667,1318133562,121.7689,261.8137
Florida,1920697.333,3526311.25,5472834001,129.3333,237.45
Georgia,882114.8333,1942688.917,2827853876,121.3033,267.1472
Kentucky,399206.75,828075.8333,1170989948,117.8425,244.441
Mississippi,302201.75,656871.3333,912985504,115.825,251.7594
North Carolina,761104.5833,1575675.75,2383571501,126.0608,260.9772
South Carolina,395208.5,834511,1235696260,123.3952,260.5579
Tennessee,650250.8333,1312505.333,1951918832,123.9309,250.1495
Illinois,1021149.833,2015303.167,3202509863,132.4247,261.3483
Indiana,404575.0833,892698.5833,1311468403,122.4255,270.1329
Michigan,872538.3333,1679420.667,2576165148,127.8301,246.0413
Minnesota,260437,533743.3333,670202668,104.6387,214.4481
Ohio,851972.25,1752135.167,2582757967,122.8386,252.6254
Wisconsin,420833.0833,841532.8333,1112980884,110.2137,220.3924
Arkansas,221446.1667,491964.6667,663719268,112.4266,249.767
Louisiana,396427.75,877340.1667,1288316273,122.3695,270.8178
New Mexico,195258.3333,431493.5,629160453,121.5083,268.5163
Oklahoma,279605.5,608492.3333,865049765,118.469,257.8185
Texas,1607669.333,3852674.917,5330650619,115.3019,276.3136
Colorado,234097.6667,505169.25,765737085,126.3169,272.5846
Iowa,193372.3333,408069.75,532085213,108.659,229.3008
Kansas,132825.4167,293456.0833,395209994,112.2286,247.9508
Missouri,403912.75,858415.5833,1236444630,120.0317,255.0973
Montana,59097,124906.0833,176169543,117.5347,248.4186
Nebraska,76918.5833,173530.3333,238904358,114.7275,258.8282
North Dakota,25011.1667,53753.1667,75765024,117.4582,252.4373
South Dakota,44038.9167,100937.9167,148938276,122.9619,281.8308
Utah,90570.0833,229911.3333,316671764,114.7804,291.369
Wyoming,15249.4167,35871,49272569,114.467,269.2593
Alaska,36997.1667,87486.3333,174241813,165.9705,392.4666
Arizona,449639.8333,1044310.083,1476761898,117.8419,273.6935
California,2019272.25,4349634.25,7411483685,141.9944,305.8645
Hawaii,98829.9167,194263.9167,525397960,225.3798,443.0153
Idaho,90161.1667,211780.8333,295662973,116.34,273.2727
Nevada,188739,383621.8333,536711313,116.5886,236.9724
Oregon,448855.4167,802190.0833,1161871005,120.6978,215.71
Washington,585104.5,1095551.083,1547545882,117.7144,220.4088
