State,Education Budget,Unemployment Rate,Population Estimate,SNAPS household_participants,SNAPS individual_participants,SNAPS cost,SNAPS cost_per_person,SNAPS cost_per_household,Median Income,Year,Unnamed: 0,U.S. Rank,% Change,Job Growth (In Thousands),# of Jobs (In Thousands)
Alabama,2875991323.57,6.8,4841799,419552.0,902073.1667,1318133562,121.7689,261.8137,42278,2014,0,40.0,0.64,12.2,1930.0
Alaska,425276010.97,6.8,736283,36997.1667,87486.3333,174241813,165.9705,392.4666,77473,2014,1,45.0,0.25,0.8,325.5
Arizona,7477469185.62,6.9,6730413,449639.8333,1044310.083,1476761898,117.8419,273.6935,56424,2014,2,15.0,1.93,48.5,2566.5
Arkansas,1405013759.95,6.1,2967392,221446.1667,491964.6667,663719268,112.4266,249.767,51461,2014,3,44.0,0.41,4.8,1182.1
California,16816137362.92,7.5,38596972,2019272.25,4349634.25,7411483685,141.9944,305.8645,69292,2014,4,7.0,2.74,411.2,15410.4
Colorado,2965284073.98,5.0,5350101,234097.6667,505169.25,765737085,126.3169,272.5846,69811,2014,5,3.0,3.13,73.5,2421.9
Connecticut,1656657509.7,6.6,3594524,242982.0833,438558.8333,697435672,132.5242,239.1931,80374,2014,6,42.0,0.48,7.9,1647.1
Delaware,494499653.74,5.7,932487,71408.0,150232.3333,220352805,122.2289,257.1523,65895,2014,7,14.0,2.0,8.4,428.1
Florida,9992845893.93,6.3,19845911,1920697.333,3526311.25,5472834001,129.3333,237.45,52856,2014,8,4.0,2.87,217.5,7794.5
Georgia,5183160669.88,7.2,10067278,882114.8333,1942688.917,2827853876,121.3033,267.1472,56768,2014,9,12.0,2.36,94.2,4087.1
Hawaii,494017468.88,4.4,1414538,98829.9167,194263.9167,525397960,225.3798,443.0153,81591,2014,10,23.0,1.34,8.3,628.4
Idaho,743821754.2,4.8,1631112,90161.1667,211780.8333,295662973,116.34,273.2727,53438,2014,11,5.0,2.8,17.5,643.1
Illinois,743821754.2,7.1,12884493,1021149.833,2015303.167,3202509863,132.4247,261.3483,62910,2014,12,33.0,1.01,57.8,5781.8
Indiana,4187494654.71,6.0,6593644,404575.0833,892698.5833,1311468403,122.4255,270.1329,55056,2014,13,27.0,1.17,34.1,2939.6
Iowa,2775868884.06,4.4,3109350,193372.3333,408069.75,532085213,108.659,229.3008,66225,2014,14,22.0,1.39,20.8,1522.5
Kansas,1611277229.2,4.5,2900475,132825.4167,293456.0833,395209994,112.2286,247.9508,61224,2014,15,17.0,1.65,22.4,1382.1
Kentucky,2346257238.5,6.5,4414349,399206.75,828075.8333,1170989948,117.8425,244.441,49014,2014,16,30.0,1.08,19.6,1829.2
Louisiana,2240881517.33,6.4,4644013,396427.75,877340.1667,1288316273,122.3695,270.8178,42406,2014,17,26.0,1.26,24.6,1973.5
Maine,705625905.79,5.7,1330513,122690.4167,230535.5833,321550513,116.2331,218.4024,51710,2014,18,39.0,0.66,3.8,583.7
Maryland,2561599475.75,5.8,5957283,403781.3333,787597.25,1133135874,119.8938,233.8592,87252,2014,19,47.0,0.22,5.6,2584.4
Massachusetts,3890410363.59,5.8,6762596,489039.4167,863411.9167,1272977488,122.8631,216.918,72344,2014,20,16.0,1.66,54.9,3353.3
Michigan,5755325241.73,7.3,9929848,872538.3333,1679420.667,2576165148,127.8301,246.0413,59575,2014,21,21.0,1.56,63.4,4119.8
Minnesota,4593669239.97,4.1,5451079,260437.0,533743.3333,670202668,104.6387,214.4481,77032,2014,22,36.0,0.9,24.6,2745.1
Mississippi,1560533444.27,7.8,2990468,302201.75,656871.3333,912985504,115.825,251.7594,40692,2014,23,41.0,0.59,6.6,1116.8
Missouri,3573389123.29,6.1,6056202,403912.75,858415.5833,1236444630,120.0317,255.0973,64873,2014,24,38.0,0.7,18.9,2718.5
