DATE,Median Income,State,Year
2002-01-01,48911,Arkansas,2002
2002-01-01,46639,mississippi,2002
2002-01-01,79700,alaska,2002
2002-01-01,72935,colorado,2002
2002-01-01,74954,virginia,2002
2002-01-01,64462,ohio,2002
2002-01-01,63130,oregon,2002
2002-01-01,37715,idaho,2002
2002-01-01,64501,illinois,2002
2002-01-01,64047,united states,2002
2002-01-01,64601,missouri,2002
2002-01-01,64364,kansas,2002
2002-01-01,83547,new hampshire,2002
2002-01-01,36853,maine,2002
2002-01-01,57197,south dakota,2002
2002-01-01,64181,pennsylvania,2002
2002-01-01,63378,new york,2002
2002-01-01,72281,utah,2002
2002-01-01,61993,iowa,2002
2002-01-01,61990,indiana,2002
2002-01-01,82410,new jersey,2002
2002-01-01,71438,hawaii,2002
2002-01-01,55060,oklahoma,2002
2002-01-01,85187,maryland,2002
2002-01-01,82491,minnesota,2002
2002-01-01,53548,new mexico,2002
2002-01-01,74982,delaware,2002
2002-01-01,54670,north dakota,2002
2002-01-01,64631,nebraska,2002
2002-01-01,55146,north carolina,2002
2002-01-01,34008,louisiana,2002
2002-01-01,60051,wyoming,2002
2002-01-01,64847,georgia,2002
2002-01-01,34835,montana,2002
2002-01-01,44958,nevada,2002
2002-01-01,71640,california,2002
2002-01-01,75292,massachusetts,2002
2002-01-01,37603,alabama,2002
2002-01-01,60007,arizona,2002
2002-01-01,45183,washington,2002
2002-01-01,80626,connecticut,2002
2002-01-01,64059,rhode island,2002
2002-01-01,37030,tennessee,2002
2002-01-01,44339,west virginia,2002
2002-01-01,60634,texas,2002
2002-01-01,57104,south carolina,2002
2002-01-01,55519,kentucky,2002
2002-01-01,64938,vermont,2002
2002-01-01,69324,wisconsin,2002
2002-01-01,57425,florida,2002
2002-01-01,64509,michigan,2002
