state,household_participants,individual_participants,cost,cost_per_person,cost_per_household
Connecticut,102174.5,195980.1667,197530353,83.9925,161.1054
Maine,72196.75,141929.1667,139618857,81.9768,161.1555
Massachusetts,154543.0833,334938.6667,304420939,75.7405,164.1511
New Hampshire,23624.6667,48449.3333,43549015,74.9047,153.6142
New York,802051.0833,1598142.917,1876077920,97.8259,194.925
Rhode Island,35232.1667,77528.3333,73550567,79.0577,173.9664
Vermont,21392.5833,42861.75,40076383,77.9179,156.1148
Delaware,23292.0833,55641.75,56542045,84.6817,202.2935
District of Columbia,43132.4167,88654.6667,97507742,91.655,188.3884
Maryland,124107.5833,273872,286695375,87.2352,192.5046
New Jersey,172641.0833,368695.0833,377525993,85.3293,182.2307
Pennsylvania,431663.9167,960940.8333,933273618,80.934,180.1698
Virginia,209858.75,485876.8333,476165722,81.6678,189.0818
West Virginia,110092.25,255936.3333,231721076,75.4488,175.3992
Alabama,197237.25,497591.3333,512604194,85.8476,216.5768
Florida,579944.6667,1202227.083,1268549090,87.9305,182.2802
Georgia,353039.5833,867147.8333,923814897,88.7791,218.0622
Kentucky,230678.9167,544743.6667,542743611,83.0274,196.0675
Mississippi,151677.8333,376863.9167,360952477,79.8149,198.3109
North Carolina,315781.9167,747273.5,753200353,83.9943,198.766
South Carolina,206986.8333,497217.5833,501204515,84.0015,201.786
Tennessee,351780.8333,806489.6667,811798438,83.8819,192.3069
Illinois,476049.75,1069595.75,1211361942,94.3785,212.051
Indiana,224454.4167,526324.3333,549500594,87.0028,204.0134
Michigan,412666.4167,943713.4167,896139758,79.1324,180.9653
Minnesota,116872.5833,247465.0833,246770329,83.0994,175.954
Ohio,419270.5,945434.9167,1009262441,88.9593,200.5989
Wisconsin,131737.6667,324047.3333,269438872,69.29,170.439
Arkansas,140269.3333,346441.3333,346881013,83.4391,206.0803
Louisiana,274129.5,705700.25,753905377,89.0257,229.1816
New Mexico,85458.6667,222715.5,217424159,81.3535,212.0169
Oklahoma,165401.5833,411839.6667,397776777,80.4878,200.4096
Texas,864342.3333,2258951.25,2306786060,85.098,222.4028
Colorado,103573.6667,241779.5833,252941644,87.1805,203.5119
Iowa,76909.4167,179179.4167,176334334,82.0101,191.0628
Kansas,74192.5833,169527.75,158017032,77.6751,177.4852
Missouri,279978.75,652751.6667,663426425,84.6961,197.4633
Montana,32984,77477.9167,79197439,85.1828,200.0905
Nebraska,48077.5,113899.75,108691184,79.5226,188.3958
North Dakota,18373.0833,41421.25,40286413,81.0502,182.7239
South Dakota,21112.8333,53459.3333,53934332,84.0738,212.8813
Utah,48365.75,123411.0833,123127454,83.1418,212.1464
Wyoming,10381.9167,25648.4167,24981367,81.166,200.5199
Alaska,17695.6667,49323.25,64404884,108.8143,303.2988
Arizona,207848.6667,529556,577867879,90.9359,231.6861
California,732238.5,1859486.333,1981136316,88.7851,225.4657
Hawaii,48599.9167,98588.75,151809426,128.3188,260.3047
Idaho,36083,91395.3333,90971822,82.9472,210.0985
Nevada,53516.0833,120274.8333,119520455,82.8107,186.113
Oregon,212131.75,419735.6667,415267009,82.4461,163.1325
Washington,219415.4167,453497.3333,455273391,83.6597,172.9115
