state,household_participants,individual_participants,cost,cost_per_person,cost_per_household
Connecticut,107491.6667,204145.5,223198180,91.1107,173.0353
Maine,78170.0833,152910.0833,162202784,88.3977,172.9165
Massachusetts,176120.6667,368122.4167,363033709,82.1814,171.7732
New Hampshire,25197.9167,52310.0833,50569118,80.5599,167.2397
New York,915702.75,1754861.25,2135869438,101.4263,194.3743
Rhode Island,34751.4167,76085.3333,78517688,85.9974,188.2841
Vermont,22355.3333,45218.0833,44999412,82.9303,167.743
Delaware,26051.9167,61586.1667,65229058,88.2626,208.6509
District of Columbia,44361.5833,88799.3333,103295526,96.9372,194.0409
Maryland,131555.75,288943.3333,320133493,92.3288,202.787
New Jersey,186660.5,392416.3333,437423008,92.8909,195.2846
Pennsylvania,471960,1042808.583,1104711263,88.2801,195.0574
Virginia,214983.4167,488480.5833,499708150,85.2487,193.7003
West Virginia,114038.0833,262441.8333,258050316,81.9389,188.5703
Alabama,222131.5,558596.3333,616090009,91.9104,231.1281
Florida,657576.25,1381804.167,1597912047,96.3663,202.5002
Georgia,375738.8333,921427,1047842395,94.7663,232.396
Kentucky,245706.5833,570277.4167,611490522,89.3557,207.3919
Mississippi,174500.0833,434958.1667,462961820,88.6985,221.0896
North Carolina,343397.3333,799746.8333,856161978,89.2118,207.7676
South Carolina,219503.0833,521125.4167,565811046,90.479,214.8076
Tennessee,374011.0833,849702.5,941638149,92.3498,209.8062
Illinois,520350.0833,1158270.833,1400091866,100.7315,224.2227
Indiana,240044.8333,556285.25,626608340,93.868,217.5317
Michigan,469975.5833,1047594.417,1098817352,87.408,194.8359
Minnesota,124398.0833,259936.5,274996874,88.1616,184.2183
Ohio,448524.4167,1007172.083,1155257476,95.5859,214.6404
Wisconsin,143459.4167,345748.3333,316951818,76.3927,184.1124
Arkansas,152908.75,373751.5,401286262,89.4726,218.6959
Louisiana,318126.4167,807895.75,978765504,100.9583,256.388
New Mexico,93093.75,240637.0833,251414424,87.0656,225.0549
Oklahoma,172837.1667,424402.25,439598807,86.3172,211.9523
Texas,941049.8333,2441974.75,2659288088,90.7492,235.4895
Colorado,107405,245925.6667,313224564,106.138,243.0245
Iowa,89654.5,206696.4167,219761007,88.6006,204.2666
Kansas,78164.5,177782.4167,179999844,84.3727,191.9028
Missouri,296799.5833,677051.5,735757569,90.559,206.5809
Montana,34573.1667,80870.1667,89231197,91.949,215.0782
Nebraska,49948.3333,117415,119523412,84.8297,199.4117
North Dakota,18926.9167,42204.4167,44674426,88.2104,196.6971
South Dakota,22482.9167,56095.3333,61477144,91.3284,227.8661
Utah,53161.5,133262.5,141217600,88.3079,221.3657
Wyoming,10422.1667,25481.4167,26976298,88.2221,215.6965
Alaska,20224.1667,55567.25,80405244,120.5825,331.3084
Arizona,220498.4167,550291.25,633808912,95.9808,239.5365
California,785682.25,1992024.25,2314680820,96.8312,245.5065
Hawaii,47308.6667,93547.75,155898096,138.8757,274.6116
Idaho,37150.5,93441.3333,102970484,91.8317,230.976
Nevada,54876.9167,121707.0833,128901489,88.2594,195.7433
Oregon,218296.75,429358.25,455943437,88.4932,174.0534
Washington,250787.75,508471.9167,539048283,88.3445,179.1184
