DATE,Median Income,State,Year
2007-01-01,53438,arkansas,2007
2007-01-01,48832,mississippi,2007
2007-01-01,82515,alaska,2007
2007-01-01,80089,colorado,2007
2007-01-01,77496,virginia,2007
2007-01-01,64315,ohio,2007
2007-01-01,65805,oregon,2007
2007-01-01,49184,idaho,2007
2007-01-01,68778,illinois,2007
2007-01-01,65801,united states,2007
2007-01-01,60263,missouri,2007
2007-01-01,63527,kansas,2007
2007-01-01,88519,new hampshire,2007
2007-01-01,47894,maine,2007
2007-01-01,60804,south dakota,2007
2007-01-01,63448,pennsylvania,2007
2007-01-01,64112,new york,2007
2007-01-01,70118,utah,2007
2007-01-01,64065,iowa,2007
2007-01-01,62159,indiana,2007
2007-01-01,79260,new jersey,2007
2007-01-01,83863,hawaii,2007
2007-01-01,56609,oklahoma,2007
2007-01-01,85970,maryland,2007
2007-01-01,76051,minnesota,2007
2007-01-01,58103,new mexico,2007
2007-01-01,71507,delaware,2007
2007-01-01,61835,north dakota,2007
2007-01-01,64414,nebraska,2007
2007-01-01,56998,north carolina,2007
2007-01-01,41313,louisiana,2007
2007-01-01,63850,wyoming,2007
2007-01-01,63716,georgia,2007
2007-01-01,43655,montana,2007
2007-01-01,54058,nevada,2007
2007-01-01,73007,california,2007
2007-01-01,76582,massachusetts,2007
2007-01-01,42212,alabama,2007
2007-01-01,61848,arizona,2007
2007-01-01,58080,washington,2007
2007-01-01,84019,connecticut,2007
2007-01-01,71010,rhode island,2007
2007-01-01,41195,tennessee,2007
2007-01-01,55136,west virginia,2007
2007-01-01,60325,texas,2007
2007-01-01,57915,south carolina,2007
2007-01-01,51679,kentucky,2007
2007-01-01,62077,vermont,2007
2007-01-01,67168,wisconsin,2007
2007-01-01,59986,florida,2007
2007-01-01,64670,michigan,2007
