State or Other Area,2004 Actual
Alabama,1672101861.00
Alaska,299103691.00
American Samoa,28980392.00
Arizona,4312713049.00
Arkansas,888970231.00
California,10825485264.00
Colorado,1665593582.00
Connecticut,965299387.00
Delaware,286492122.00
District of Columbia,832483943.00
Florida,5181788479.00
Freely Associated States,13483471.00
Georgia,3047639805.00
Guam,52324673.00
Hawaii,328434252.00
Idaho,465769792.00
Illinois,4949209265.00
Indian set-aside,277208731.00
Indiana,2163633194.00
Iowa,1359456012.00
Kansas,980808704.00
Kentucky,1360229743.00
Louisiana,1717280472.00
Maine,423214886.00
Maryland,1505190669.00
Massachusetts,2603588836.00
Michigan,3454672680.00
Minnesota,1939365014.00
Mississippi,1103081748.00
Missouri,2258962812.00
Montana,376050552.00
Nebraska,703859098.00
Nevada,400225384.00
New Hampshire,423650638.00
New Jersey,2148413429.00
New Mexico,735023519.00
New York,8106090202.00
North Carolina,2315149754.00
North Dakota,323609847.00
Northern Mariana Islands,17555344.00
Ohio,3919276071.00
Oklahoma,1334923300.00
Oregon,1318760448.00
Other,722049263.00
Pennsylvania,4740816851.00
Puerto Rico,1712627172.00
Rhode Island,530793180.00
South Carolina,1313444504.00
South Dakota,375611344.00
Tennessee,1895812898.00
Texas,7207764023.00
Utah,762450195.00
Vermont,318894589.00
Virgin Islands,39965171.00
Virginia,2122509463.00
Washington,1780464671.00
West Virginia,714586624.00
Wisconsin,1613726426.00
Wyoming,258093648.00
     Total,105187000000.00
