State or Other Area,2008 Actual
Alabama,1986869436.00
Alaska,318560716.20
American Samoa,32871928.42
Arizona,6375493472.00
Arkansas,1046683517.00
California,12912570108.00
Colorado,2200548161.00
Connecticut,1150836531.00
Delaware,362014919.10
District of Columbia,927957391.40
Florida,6744987114.00
Freely Associated States,21050323.93
Georgia,3907401173.00
Guam,59813188.79
Hawaii,353191297.90
Idaho,562589289.00
Illinois,5813116523.00
Indian set-aside,284035300.00
Indiana,2663698922.00
Iowa,2276849748.00
Kansas,1114729744.00
Kentucky,1739805781.00
Louisiana,1734100593.00
Maine,478196984.60
Maryland,1914689258.00
Massachusetts,3153444001.00
Michigan,4795022745.00
Minnesota,2973502580.00
Mississippi,1302401255.00
Missouri,2659692755.00
Montana,390295347.30
Nebraska,811008585.70
Nevada,604407231.60
New Hampshire,505989489.00
New Jersey,2569965494.00
New Mexico,784943743.40
New York,9170530970.00
North Carolina,2987459791.00
North Dakota,347491309.70
Northern Mariana Islands,18280060.03
Ohio,4977033577.00
Oklahoma,1460048450.00
Oregon,1570400632.00
Other,885303811.60
Pennsylvania,5782155092.00
Puerto Rico,2024309187.00
Rhode Island,672191792.60
South Carolina,1594238879.00
South Dakota,416833841.00
Tennessee,2291867545.00
Texas,8419664869.00
Utah,851623835.10
Vermont,392882307.70
Virgin Islands,40670498.49
Virginia,2930408743.00
Washington,1960404300.00
West Virginia,951378317.50
Wisconsin,1995660623.00
Wyoming,224783405.10
     Total,129000000000.00
