DATE,Median Income,State,Year
2003-01-01,47257,arkansas,2003
2003-01-01,48329,mississippi,2003
2003-01-01,76547,alaska,2003
2003-01-01,73746,colorado,2003
2003-01-01,80897,virginia,2003
2003-01-01,64265,ohio,2003
2003-01-01,61486,oregon,2003
2003-01-01,42372,idaho,2003
2003-01-01,66677,illinois,2003
2003-01-01,63967,united states,2003
2003-01-01,64623,missouri,2003
2003-01-01,65317,kansas,2003
2003-01-01,82055,new hampshire,2003
2003-01-01,37113,maine,2003
2003-01-01,58362,south dakota,2003
2003-01-01,63398,pennsylvania,2003
2003-01-01,63184,new york,2003
2003-01-01,72764,utah,2003
2003-01-01,61111,iowa,2003
2003-01-01,62648,indiana,2003
2003-01-01,82761,new jersey,2003
2003-01-01,76542,hawaii,2003
2003-01-01,53016,oklahoma,2003
2003-01-01,77251,maryland,2003
2003-01-01,78003,minnesota,2003
2003-01-01,51839,new mexico,2003
2003-01-01,72386,delaware,2003
2003-01-01,59673,north dakota,2003
2003-01-01,64936,nebraska,2003
2003-01-01,55049,north carolina,2003
2003-01-01,33507,louisiana,2003
2003-01-01,62840,wyoming,2003
2003-01-01,62668,georgia,2003
2003-01-01,34108,montana,2003
2003-01-01,45184,nevada,2003
2003-01-01,72801,california,2003
2003-01-01,75244,massachusetts,2003
2003-01-01,37255,alabama,2003
2003-01-01,60789,arizona,2003
2003-01-01,47508,washington,2003
2003-01-01,81166,connecticut,2003
2003-01-01,66024,rhode island,2003
2003-01-01,37523,tennessee,2003
2003-01-01,48381,west virginia,2003
2003-01-01,57991,texas,2003
2003-01-01,56821,south carolina,2003
2003-01-01,54543,kentucky,2003
2003-01-01,63883,vermont,2003
2003-01-01,68325,wisconsin,2003
2003-01-01,57549,florida,2003
2003-01-01,66483,michigan,2003
