Year,GDP,State
2007,617310000000.0,Pennsylvania
2007,86740000000.0,New Mexico
2007,446940000000.0,Michigan
2007,51470000000.0,Rhode Island
2007,424940000000.0,Virginia
2007,144110000000.0,Nevada
2007,37760000000.0,South Dakota
2007,712620000000.0,Illinois
2007,850050000000.0,Florida
2007,189000000000.0,Alabama
2007,93910000000.0,Nebraska
2007,70080000000.0,Hawaii
2007,304090000000.0,Indiana
2007,455900000000.0,Georgia
2007,152860000000.0,Iowa
2007,266890000000.0,Colorado
2007,40440000000.0,Montana
2007,546730000000.0,Ohio
2007,306760000000.0,Maryland
2007,66849999999.99999,New Hampshire
2007,123840000000.0,Utah
2007,32020000000.000004,North Dakota
2007,438960000000.0,North Carolina
2007,269930000000.0,Wisconsin
2007,137090000000.0,Kansas
2007,520900000000.0,New Jersey
2007,168980000000.0,Oregon
2007,2041190000000.0,California
2007,267690000000.0,Missouri
2007,26890000000.0,Vermont
2007,406420000000.0,Massachusetts
2007,67120000000.00001,West Virginia
2007,1286190000000.0,Texas
2007,174410000000.0,Kentucky
2007,51720000000.0,Alaska
2007,55360000000.0,Maine
2007,283250000000.0,Arizona
2007,1208560000000.0,New York
2007,286300000000.0,Minnesota
2007,40630000000.0,Wyoming
2007,273220000000.00003,Tennessee
2007,58670000000.0,Idaho
2007,100210000000.0,Mississippi
2007,230370000000.0,Louisiana
2007,60480000000.0,Delaware
2007,156220000000.0,Oklahoma
2007,373180000000.0,Washington
2007,107610000000.0,Arkansas
2007,257950000000.0,Connecticut
2007,178470000000.0,South Carolina
