State or Other Area,2000 Actual
Alabama,557767813.76
Alaska,177881580.00
American Samoa,17174966.00
Arizona,667976455.65
Arkansas,328403457.01
California,3792096589.58
Colorado,370882855.48
Connecticut,288895734.92
Delaware,85735787.00
District of Columbia,115040586.48
Florida,1590311741.34
Freely Associated States,0.00
Georgia,822536044.88
Guam,32783237.00
Hawaii,132643273.30
Idaho,150011363.26
Illinois,1272164391.51
Indian set-aside,172001598.00
Indiana,588909058.44
Iowa,305590676.15
Kansas,296011073.00
Kentucky,501796365.61
Louisiana,643637544.65
Maine,154133835.02
Maryland,461461302.78
Massachusetts,662761570.91
Michigan,1105793304.47
Minnesota,465781969.32
Mississippi,448733273.91
Missouri,597240071.26
Montana,156536540.20
Nebraska,189206073.52
Nevada,127129726.66
New Hampshire,114094562.27
New Jersey,761924027.08
New Mexico,332184647.04
New York,2583256083.52
North Carolina,753759803.69
North Dakota,117810518.04
Northern Mariana Islands,11008389.00
Ohio,1171953384.69
Oklahoma,449407200.44
Oregon,347636498.00
Other,146653680.00
Pennsylvania,1285504828.39
Puerto Rico,1006199488.20
Rhode Island,134418578.48
South Carolina,443090827.55
South Dakota,133366735.00
Tennessee,583465744.00
Texas,2484215057.42
Utah,255609305.83
Vermont,91491401.00
Virgin Islands,30648863.00
Virginia,641092964.86
Washington,569577740.82
West Virginia,257981746.13
Wisconsin,530100702.84
Wyoming,86526319.67
     Total,32611859000.00
