DATE,Median Income,State,Year
2009-01-01,46252,arkansas,2009
2009-01-01,44404,mississippi,2009
2009-01-01,77982,alaska,2009
2009-01-01,70800,colorado,2009
2009-01-01,76586,virginia,2009
2009-01-01,58077,ohio,2009
2009-01-01,62151,oregon,2009
2009-01-01,46778,idaho,2009
2009-01-01,66926,illinois,2009
2009-01-01,63011,united states,2009
2009-01-01,61735,missouri,2009
2009-01-01,56606,kansas,2009
2009-01-01,81181,new hampshire,2009
2009-01-01,47502,maine,2009
2009-01-01,58009,south dakota,2009
2009-01-01,60979,pennsylvania,2009
2009-01-01,63567,new york,2009
2009-01-01,74042,utah,2009
2009-01-01,64206,iowa,2009
2009-01-01,56084,indiana,2009
2009-01-01,81999,new jersey,2009
2009-01-01,70444,hawaii,2009
2009-01-01,58075,oklahoma,2009
2009-01-01,81251,maryland,2009
2009-01-01,71002,minnesota,2009
2009-01-01,55118,new mexico,2009
2009-01-01,65969,delaware,2009
2009-01-01,63388,north dakota,2009
2009-01-01,62780,nebraska,2009
2009-01-01,53047,north carolina,2009
2009-01-01,45433,louisiana,2009
2009-01-01,66420,wyoming,2009
2009-01-01,54862,georgia,2009
2009-01-01,40437,montana,2009
2009-01-01,51434,nevada,2009
2009-01-01,71058,california,2009
2009-01-01,75158,massachusetts,2009
2009-01-01,39980,alabama,2009
2009-01-01,57899,arizona,2009
2009-01-01,60392,washington,2009
2009-01-01,82092,connecticut,2009
2009-01-01,65362,rhode island,2009
2009-01-01,40517,tennessee,2009
2009-01-01,51255,west virginia,2009
2009-01-01,60097,texas,2009
2009-01-01,52028,south carolina,2009
2009-01-01,54007,kentucky,2009
2009-01-01,66227,vermont,2009
2009-01-01,64859,wisconsin,2009
2009-01-01,57763,florida,2009
2009-01-01,58222,michigan,2009
