DATE,Median Income,State,Year
2019-01-01,57799,arkansas,2019
2019-01-01,47463,mississippi,2019
2019-01-01,83079,alaska,2019
2019-01-01,76832,colorado,2019
2019-01-01,86172,virginia,2019
2019-01-01,68527,ohio,2019
2019-01-01,78860,oregon,2019
2019-01-01,65988,idaho,2019
2019-01-01,78845,illinois,2019
2019-01-01,72808,united states,2019
2019-01-01,64218,missouri,2019
2019-01-01,77523,kansas,2019
2019-01-01,92093,new hampshire,2019
2019-01-01,66546,maine,2019
2019-01-01,68095,south dakota,2019
2019-01-01,74800,pennsylvania,2019
2019-01-01,76149,new york,2019
2019-01-01,89574,utah,2019
2019-01-01,70002,iowa,2019
2019-01-01,70679,indiana,2019
2019-01-01,92969,new jersey,2019
2019-01-01,93265,hawaii,2019
2019-01-01,62946,oklahoma,2019
2019-01-01,101283,maryland,2019
2019-01-01,86292,minnesota,2019
2019-01-01,56287,new mexico,2019
2019-01-01,78628,delaware,2019
2019-01-01,74216,north dakota,2019
2019-01-01,77437,nebraska,2019
2019-01-01,64814,north carolina,2019
2019-01-01,51707,louisiana,2019
2019-01-01,69027,wyoming,2019
2019-01-01,60012,georgia,2019
2019-01-01,60195,montana,2019
2019-01-01,70906,nevada,2019
2019-01-01,82772,california,2019
2019-01-01,92949,massachusetts,2019
2019-01-01,56200,alabama,2019
2019-01-01,74897,arizona,2019
2019-01-01,82454,washington,2019
2019-01-01,92507,connecticut,2019
2019-01-01,74344,rhode island,2019
2019-01-01,56627,tennessee,2019
2019-01-01,56916,west virginia,2019
2019-01-01,71474,texas,2019
2019-01-01,65735,south carolina,2019
2019-01-01,58989,kentucky,2019
2019-01-01,78746,vermont,2019
2019-01-01,71380,wisconsin,2019
2019-01-01,61856,florida,2019
2019-01-01,67951,michigan,2019
