State or Other Area,2006 Actual
Alabama,1658852571
Alaska,301221949
American Samoa,30251816
Arizona,5024773228
Arkansas,943608285
California,11259250170
Colorado,1906039380
Connecticut,989209889
Delaware,288998217
District of Columbia,797311644
Florida,5805917256
Freely Associated States,18480015
Georgia,3385081272
Guam,55747179
Hawaii,352899977
Idaho,467601127
Illinois,4879526580
Indian set-aside,272012098.8
Indiana,2271212934
Iowa,1523025722
Kansas,985416174
Kentucky,1499200583
Louisiana,1660398638
Maine,427830422
Maryland,1573459095
Massachusetts,2608631711
Michigan,3734005600
Minnesota,2322627249
Mississippi,1120054323
Missouri,2455501942
Montana,373357573
Nebraska,708693051
Nevada,452284897
New Hampshire,438087063
New Jersey,2122576555
New Mexico,732575554
New York,8196631641
North Carolina,2535976395
North Dakota,350723567
Northern Mariana Islands,17511202
Ohio,4122599532
Oklahoma,1358397668
Oregon,1295029955
Other,696448737
Pennsylvania,5294647339
Puerto Rico,1745532029
Rhode Island,552904039
South Carolina,1374888937
South Dakota,385732599
Tennessee,1976977392
Texas,7792289367
Utah,767757139
Vermont,348958046
Virgin Islands,37748180
Virginia,2400097845
Washington,1718697048
West Virginia,747262992
Wisconsin,1695229913
Wyoming,247839567
     Total,1.11106E+11
