DATE,Median Income,State,Year
2005-01-01,50981,arkansas,2005
2005-01-01,45720,mississippi,2005
2005-01-01,77729,alaska,2005
2005-01-01,70161,colorado,2005
2005-01-01,72198,virginia,2005
2005-01-01,61474,ohio,2005
2005-01-01,61413,oregon,2005
2005-01-01,44176,idaho,2005
2005-01-01,67308,illinois,2005
2005-01-01,64427,united states,2005
2005-01-01,59782,missouri,2005
2005-01-01,58448,kansas,2005
2005-01-01,79249,new hampshire,2005
2005-01-01,43923,maine,2005
2005-01-01,60011,south dakota,2005
2005-01-01,64391,pennsylvania,2005
2005-01-01,65609,new york,2005
2005-01-01,76230,utah,2005
2005-01-01,64669,iowa,2005
2005-01-01,59018,indiana,2005
2005-01-01,88128,new jersey,2005
2005-01-01,82868,hawaii,2005
2005-01-01,52354,oklahoma,2005
2005-01-01,84156,maryland,2005
2005-01-01,75398,minnesota,2005
2005-01-01,54165,new mexico,2005
2005-01-01,71254,delaware,2005
2005-01-01,58678,north dakota,2005
2005-01-01,66648,nebraska,2005
2005-01-01,58488,north carolina,2005
2005-01-01,37236,louisiana,2005
2005-01-01,62191,wyoming,2005
2005-01-01,63871,georgia,2005
2005-01-01,37313,montana,2005
2005-01-01,48209,nevada,2005
2005-01-01,71977,california,2005
2005-01-01,77904,massachusetts,2005
2005-01-01,37150,alabama,2005
2005-01-01,62924,arizona,2005
2005-01-01,50646,washington,2005
2005-01-01,79042,connecticut,2005
2005-01-01,68819,rhode island,2005
2005-01-01,39406,tennessee,2005
2005-01-01,50685,west virginia,2005
2005-01-01,57607,texas,2005
2005-01-01,55949,south carolina,2005
2005-01-01,51038,kentucky,2005
2005-01-01,70515,vermont,2005
2005-01-01,62096,wisconsin,2005
2005-01-01,59787,florida,2005
2005-01-01,63880,michigan,2005
