State,Education Budget,2006 Rate,Rank ,Labor Force,Population Estimate,SNAPS household_participants,SNAPS individual_participants,SNAPS cost,SNAPS cost_per_person,SNAPS cost_per_household
Alabama,1658852571.0,3.6,12,2200000,4569805,220345.1667,546684.0,593698537,90.5,224.5335
Alaska,301221949.0,6.7,49,347000,666946,21172.3333,57153.3333,85981777,125.3671,338.4203
Arizona,5024773228.0,4.1,20,2977000,5839077,220292.6667,540781.5,626260397,96.5055,236.9047
Arkansas,943608285.0,5.3,43,1365000,2781097,159353.75,384888.5833,414384306,89.7195,216.7004
California,11259250170.0,4.9,35,17902000,35827943,799468.5,1999656.167,2376672482,99.045,247.7346
Colorado,1906039380.0,4.3,23,2652000,4631888,107245.5833,251385.4167,321030244,106.4203,249.451
Connecticut,989209889.0,4.3,23,1844000,3506956,111958.0833,210288.0,239082045,94.7439,177.955
Delaware,288998217.0,3.6,12,440000,845150,28211.4167,65698.1667,70175479,89.0125,207.2904
Florida,5805917256.0,3.3,9,8989000,17842038,673298.75,1417749.417,1684348395,99.0036,208.4697
Georgia,3385081272.0,4.6,28,4742000,8925922,386191.8333,946812.0833,1098314441,96.6678,236.9967
Hawaii,352899977.0,2.4,1,643000,1292729,44882.5833,87942.4167,147845128,140.0965,274.5035
Idaho,467601127.0,3.4,10,749000,1428241,36959.0833,91105.5,100166643,91.6215,225.8503
Illinois,4879526580.0,4.5,25,6613000,12609903,556293.3333,1225093.167,1503197008,102.2505,225.1805
Indiana,2271212934.0,5.0,38,3271000,6278616,249498.0833,574696.4167,648113405,93.9791,216.4724
Iowa,1523025722.0,3.7,15,1664000,2964454,100753.0833,225717.4167,244224816,90.1661,201.9995
Kansas,985416174.0,4.5,25,1466000,2745299,81624.5,183070.6667,188316820,85.7214,192.2593
Kentucky,1499200583.0,5.7,46,2039000,4182742,257605.0,589101.8333,645357318,91.2911,208.7684
Louisiana,1660398638.0,4.0,17,1990000,4576628,333399.5,829882.1667,1031646570,103.5937,257.8605
Maine,427830422.0,4.6,28,711000,1318787,81557.4167,160293.75,169291080,88.0109,172.9774
Maryland,1573459095.0,3.9,16,3009000,5592379,140393.5,305394.6667,336097166,91.7112,199.4971
Massachusetts,2608631711.0,5.0,38,3404000,6403290,227263.25,431517.8333,421536216,81.4057,154.5697
Michigan,3734005600.0,6.9,51,5081000,10051137,515029.5833,1133792.917,1238787643,91.0504,200.4396
Minnesota,2322627249.0,4.0,17,2939000,5119598,125763.8333,263985.5,282402693,89.1472,187.125
Mississippi,1120054323.0,6.8,50,1307000,2905943,181184.0,447709.6667,507102161,94.3882,233.2353
Missouri,2455501942.0,3.0,3,974000,5790300,299304.75,672889.3333,740064276,91.6525,206.0509
Montana,373357573.0,3.2,5,494000,940102,35268.4167,81567.1667,89953948,91.9017,212.546
Nebraska,708693051.0,4.8,33,3032000,1761497,51285.0,119683.25,124315497,86.5587,202.0011
Nevada,452284897.0,4.2,21,1295000,2432143,54517.4167,117919.6667,124331511,87.8646,190.0486
New Hampshire,438087063.0,3.4,10,737000,1298492,27377.4167,56338.25,57878223,85.6112,176.1739
New Jersey,2122576555.0,4.6,28,4518000,8651974,194108.25,405666.75,455855915,93.6433,195.7052
New Mexico,732575554.0,4.2,21,935000,1932274,95499.3333,244671.6667,253364982,86.2942,221.0879
New York,8196631641.0,4.5,25,9499000,19132610,935068.0833,1785913.667,2239980092,104.5207,199.6272
North Carolina,2535976395.0,4.8,33,4465000,8705407,376577.1667,854407.25,920976885,89.8261,203.8044
North Dakota,350723567.0,3.2,5,358000,646089,19287.9167,42576.3333,46220226,90.4654,199.6942
Ohio,4122599532.0,5.5,45,5934000,11463320,480582.1667,1063919.667,1266219839,99.1788,219.5635
Oklahoma,1358397668.0,4.0,17,1720000,3548597,181134.75,435519.0833,467306464,89.4156,214.9903
Oregon,1295029955.0,5.4,44,1899000,3613202,222930.25,434238.5833,463280260,88.9066,173.1783
Pennsylvania,5294647339.0,4.7,31,6306000,12449990,496774.3333,1092297.917,1182249827,90.1959,198.3211
Rhode Island,552904039.0,5.1,41,577000,1067916,34241.4167,73194.5,80928576,92.1387,196.9559
South Carolina,1374888937.0,6.5,48,2126000,4270150,226849.8333,534294.0833,589430436,91.9329,216.5274
South Dakota,385732599.0,3.2,5,431000,775493,23781.1667,58466.4167,66153217,94.2895,231.8123
Tennessee,1976977392.0,5.2,42,2990000,5991057,387090.3333,870416.0,976012959,93.4432,210.1174
Texas,7792289367.0,4.9,35,11487000,22778123,1017312.583,2622548.083,2939331493,93.3994,240.7758
Utah,767757139.0,2.9,2,1311000,2457719,53966.75,131753.1667,140415915,88.8125,216.8247
Vermont,348958046.0,3.6,12,361000,621215,23695.75,47677.0,50092041,87.5545,176.1639
Virginia,2400097845.0,3.0,3,3999000,7577105,224843.3333,506655.75,525712148,86.4677,194.8439
Washington,1718697048.0,5.0,38,3327000,6257305,270201.5833,535768.1667,594593287,92.483,183.3795
West Virginia,747262992.0,4.9,35,807000,1820492,118282.4167,267629.6667,266402597,82.9513,187.6882
Wisconsin,1695229913.0,4.7,31,3063000,5546166,154557.9167,367918.4167,346649508,78.5159,186.9038
Wyoming,247839567.0,3.2,5,285000,514157,10133.8333,24236.4167,26308511,90.4579,216.3422
