DATE,Median Income,State,Year
2011-01-01,49862,arkansas,2011
2011-01-01,49606,mississippi,2011
2011-01-01,69334,alaska,2011
2011-01-01,70781,colorado,2011
2011-01-01,75594,virginia,2011
2011-01-01,53902,ohio,2011
2011-01-01,62205,oregon,2011
2011-01-01,47459,idaho,2011
2011-01-01,61132,illinois,2011
2011-01-01,60428,united states,2011
2011-01-01,55261,missouri,2011
2011-01-01,55712,kansas,2011
2011-01-01,79534,new hampshire,2011
2011-01-01,49693,maine,2011
2011-01-01,57011,south dakota,2011
2011-01-01,60254,pennsylvania,2011
2011-01-01,61131,new york,2011
2011-01-01,66995,utah,2011
2011-01-01,60627,iowa,2011
2011-01-01,53657,indiana,2011
2011-01-01,75258,new jersey,2011
2011-01-01,71285,hawaii,2011
2011-01-01,58498,oklahoma,2011
2011-01-01,83151,maryland,2011
2011-01-01,69804,minnesota,2011
2011-01-01,50683,new mexico,2011
2011-01-01,65989,delaware,2011
2011-01-01,68042,north dakota,2011
2011-01-01,67143,nebraska,2011
2011-01-01,54575,north carolina,2011
2011-01-01,40658,louisiana,2011
2011-01-01,65807,wyoming,2011
2011-01-01,55501,georgia,2011
2011-01-01,40277,montana,2011
2011-01-01,47043,nevada,2011
2011-01-01,64428,california,2011
2011-01-01,76435,massachusetts,2011
2011-01-01,42590,alabama,2011
2011-01-01,58698,arizona,2011
2011-01-01,56850,washington,2011
2011-01-01,78973,connecticut,2011
2011-01-01,59196,rhode island,2011
2011-01-01,42279,tennessee,2011
2011-01-01,50489,west virginia,2011
2011-01-01,59213,texas,2011
2011-01-01,48392,south carolina,2011
2011-01-01,48117,kentucky,2011
2011-01-01,62611,vermont,2011
2011-01-01,62848,wisconsin,2011
2011-01-01,54454,florida,2011
2011-01-01,59010,michigan,2011
