DATE,Median Income,State,Year
2008-01-01,49936,arkansas,2008
2008-01-01,45975,mississippi,2008
2008-01-01,80720,alaska,2008
2008-01-01,76877,colorado,2008
2008-01-01,78192,virginia,2008
2008-01-01,59205,ohio,2008
2008-01-01,65252,oregon,2008
2008-01-01,47420,idaho,2008
2008-01-01,67178,illinois,2008
2008-01-01,63455,united states,2008
2008-01-01,58075,missouri,2008
2008-01-01,60395,kansas,2008
2008-01-01,83478,new hampshire,2008
2008-01-01,47228,maine,2008
2008-01-01,65091,south dakota,2008
2008-01-01,64842,pennsylvania,2008
2008-01-01,63655,new york,2008
2008-01-01,78888,utah,2008
2008-01-01,63252,iowa,2008
2008-01-01,58683,indiana,2008
2008-01-01,82381,new jersey,2008
2008-01-01,77606,hawaii,2008
2008-01-01,58167,oklahoma,2008
2008-01-01,80369,maryland,2008
2008-01-01,69286,minnesota,2008
2008-01-01,53110,new mexico,2008
2008-01-01,63959,delaware,2008
2008-01-01,62608,north dakota,2008
2008-01-01,63991,nebraska,2008
2008-01-01,54155,north carolina,2008
2008-01-01,39563,louisiana,2008
2008-01-01,67283,wyoming,2008
2008-01-01,58314,georgia,2008
2008-01-01,42900,montana,2008
2008-01-01,54744,nevada,2008
2008-01-01,71921,california,2008
2008-01-01,76091,massachusetts,2008
2008-01-01,44476,alabama,2008
2008-01-01,59180,arizona,2008
2008-01-01,56631,washington,2008
2008-01-01,81594,connecticut,2008
2008-01-01,67161,rhode island,2008
2008-01-01,39702,tennessee,2008
2008-01-01,47928,west virginia,2008
2008-01-01,58645,texas,2008
2008-01-01,53177,south carolina,2008
2008-01-01,51907,kentucky,2008
2008-01-01,63964,vermont,2008
2008-01-01,64587,wisconsin,2008
2008-01-01,56585,florida,2008
2008-01-01,62806,michigan,2008
