DATE,Median Income,State,Year
2006-01-01,49918,arkansas,2006
2006-01-01,46788,mississippi,2006
2006-01-01,75999,alaska,2006
2006-01-01,75027,colorado,2006
2006-01-01,76943,virginia,2006
2006-01-01,61830,ohio,2006
2006-01-01,63435,oregon,2006
2006-01-01,46213,idaho,2006
2006-01-01,65563,illinois,2006
2006-01-01,64930,united states,2006
2006-01-01,60051,missouri,2006
2006-01-01,61361,kansas,2006
2006-01-01,83477,new hampshire,2006
2006-01-01,45642,maine,2006
2006-01-01,61193,south dakota,2006
2006-01-01,65302,pennsylvania,2006
2006-01-01,64958,new york,2006
2006-01-01,73587,utah,2006
2006-01-01,64829,iowa,2006
2006-01-01,61166,indiana,2006
2006-01-01,91680,new jersey,2006
2006-01-01,81457,hawaii,2006
2006-01-01,52317,oklahoma,2006
2006-01-01,85765,maryland,2006
2006-01-01,75720,minnesota,2006
2006-01-01,53920,new mexico,2006
2006-01-01,70637,delaware,2006
2006-01-01,55293,north dakota,2006
2006-01-01,64854,nebraska,2006
2006-01-01,53609,north carolina,2006
2006-01-01,36488,louisiana,2006
2006-01-01,63367,wyoming,2006
2006-01-01,66469,georgia,2006
2006-01-01,41105,montana,2006
2006-01-01,52282,nevada,2006
2006-01-01,74518,california,2006
2006-01-01,74533,massachusetts,2006
2006-01-01,37952,alabama,2006
2006-01-01,62850,arizona,2006
2006-01-01,54723,washington,2006
2006-01-01,84062,connecticut,2006
2006-01-01,72386,rhode island,2006
2006-01-01,40693,tennessee,2006
2006-01-01,51753,west virginia,2006
2006-01-01,58337,texas,2006
2006-01-01,53367,south carolina,2006
2006-01-01,53189,kentucky,2006
2006-01-01,70022,vermont,2006
2006-01-01,69632,wisconsin,2006
2006-01-01,61528,florida,2006
2006-01-01,65531,michigan,2006
