State or Other Area,2001 Actual
Alabama,1205096441
Alaska,227988480
American Samoa,19376216
Arizona,1990909460
Arkansas,618218324
California,7895473833
Colorado,1061188114
Connecticut,703315579
Delaware,187754734
District of Columbia,596359049
Florida,3622745422
Freely Associated States,11322187
Georgia,1973334617
Guam,40484869
Hawaii,229367192
Idaho,317431995
Illinois,3128505463
Indian set-aside,191261708
Indiana,1565548276
Iowa,901029813
Kansas,714466440
Kentucky,949124657
Louisiana,1336661483
Maine,327987375
Maryland,1094203563
Massachusetts,1908834439
Michigan,2438946185
Minnesota,1266655860
Mississippi,810714107
Missouri,1593065077
Montana,298360532
Nebraska,498722144
Nevada,259985925
New Hampshire,326084388
New Jersey,1568266890
New Mexico,530066506
New York,6011667167
North Carolina,1641764159
North Dakota,258845309
Northern Mariana Islands,12125221
Ohio,2954518787
Oklahoma,961098433
Oregon,911681573
Other,457683331
Pennsylvania,3795993993
Puerto Rico,1312460756
Rhode Island,401957614
South Carolina,922375423
South Dakota,296723889
Tennessee,1326565262
Texas,4760220857
Utah,510599570
Vermont,253879970
Virgin Islands,34264685
Virginia,1564714192
Washington,1253035444
West Virginia,520774265
Wisconsin,1205201789
Wyoming,152676575
     Total,73929685607
