Year,GDP,State
2006,597220000000.0,Pennsylvania
2006,86060000000.0,New Mexico
2006,449850000000.0,Michigan
2006,52900000000.0,Rhode Island
2006,419870000000.0,Virginia
2006,142970000000.0,Nevada
2006,36350000000.0,South Dakota
2006,704830000000.0,Illinois
2006,839960000000.0,Florida
2006,187270000000.0,Alabama
2006,91830000000.0,Nebraska
2006,68760000000.0,Hawaii
2006,296110000000.0,Indiana
2006,453030000000.0,Georgia
2006,146560000000.0,Iowa
2006,257430000000.0,Colorado
2006,38580000000.0,Montana
2006,545500000000.0,Ohio
2006,305790000000.0,Maryland
2006,66629999999.99999,New Hampshire
2006,118480000000.0,Utah
2006,30590000000.0,North Dakota
2006,434210000000.0,North Carolina
2006,268250000000.0,Wisconsin
2006,130360000000.00002,Kansas
2006,516679999999.99994,New Jersey
2006,166110000000.0,Oregon
2006,2002440000000.0,California
2006,267220000000.00003,Missouri
2006,27130000000.0,Vermont
2006,395540000000.0,Massachusetts
2006,66860000000.0,West Virginia
2006,1228550000000.0,Texas
2006,175660000000.0,Kentucky
2006,49190000000.0,Alaska
2006,55450000000.0,Maine
2006,274180000000.0,Arizona
2006,1199280000000.0,New York
2006,284380000000.0,Minnesota
2006,37810000000.0,Wyoming
2006,274880000000.0,Tennessee
2006,57610000000.0,Idaho
2006,99010000000.0,Mississippi
2006,245500000000.0,Louisiana
2006,60620000000.0,Delaware
2006,152860000000.0,Oklahoma
2006,353260000000.0,Washington
2006,108460000000.0,Arkansas
2006,248230000000.0,Connecticut
2006,173370000000.0,South Carolina
