State,Education Budget,Unemployment Rate,Population Estimate,SNAPS household_participants,SNAPS individual_participants,SNAPS cost,SNAPS cost_per_person,SNAPS cost_per_household
Alabama,1677873818.0,4.0,4530729,222131.5,558596.3333,616090009,91.9104,231.1281
Alaska,304062005.0,6.8,659286,20224.1667,55567.25,80405244,120.5825,331.3084
Arizona,4678691268.0,4.7,5652404,220498.4167,550291.25,633808912,95.9808,239.5365
Arkansas,930347440.0,4.9,2749686,152908.75,373751.5,401286262,89.4726,218.6959
California,11080946384.0,5.4,35574576,785682.25,1992024.25,2314680820,96.8312,245.5065
Colorado,1823869012.0,5.0,4575013,107405.0,245925.6667,313224564,106.138,243.0245
Connecticut,997567838.0,4.9,3496094,107491.6667,204145.5,223198180,91.1107,173.0353
Delaware,293525157.0,4.2,830803,26051.9167,61586.1667,65229058,88.2626,208.6509
Florida,5701576524.0,3.8,17415318,657576.25,1381804.167,1597912047,96.3663,202.5002
Georgia,3279800371.0,5.3,8769252,375738.8333,921427.0,1047842395,94.7663,232.396
Hawaii,356335228.0,2.8,1273569,47308.6667,93547.75,155898096,138.8757,274.6116
Idaho,468785354.0,3.8,1391802,37150.5,93441.3333,102970484,91.8317,230.976
Illinois,4728937533.0,5.7,12589773,520350.0833,1158270.833,1400091866,100.7315,224.2227
Indiana,2243657479.0,5.4,6233007,240044.8333,556285.25,626608340,93.868,217.5317
Iowa,1431675661.0,4.6,2953635,89654.5,206696.4167,219761007,88.6006,204.2666
Kansas,996327475.0,5.1,2734373,78164.5,177782.4167,179999844,84.3727,191.9028
Kentucky,1499444374.0,6.1,4146101,245706.5833,570277.4167,611490522,89.3557,207.3919
Louisiana,1673063069.0,7.1,4552238,318126.4167,807895.75,978765504,100.9583,256.388
Maine,418711062.0,4.8,1313688,78170.0833,152910.0833,162202784,88.3977,172.9165
Maryland,1564968595.0,4.1,5546935,131555.75,288943.3333,320133493,92.3288,202.787
Massachusetts,2670561086.0,4.8,6412281,176120.6667,368122.4167,363033709,82.1814,171.7732
Michigan,3612333060.0,6.7,10055315,469975.5833,1047594.417,1098817352,87.408,194.8359
Minnesota,2133466102.0,4.0,5087713,124398.0833,259936.5,274996874,88.1616,184.2183
Mississippi,1154835325.0,7.9,2889010,174500.0833,434958.1667,462961820,88.6985,221.0896
Missouri,2356116918.0,3.8,5747741,296799.5833,677051.5,735757569,90.559,206.5809
Montana,375974288.0,4.0,930009,34573.1667,80870.1667,89231197,91.949,215.0782
Nebraska,703224866.0,5.4,1749370,49948.3333,117415.0,119523412,84.8297,199.4117
Nevada,447480692.0,4.1,2346222,54876.9167,121707.0833,128901489,88.2594,195.7433
New Hampshire,432014135.0,3.6,1290121,25197.9167,52310.0833,50569118,80.5599,167.2397
New Jersey,2223697671.0,4.4,8634561,186660.5,392416.3333,437423008,92.8909,195.2846
New Mexico,747461489.0,5.3,1903808,93093.75,240637.0833,251414424,87.0656,225.0549
New York,8153308555.0,5.0,19171567,915702.75,1754861.25,2135869438,101.4263,194.3743
North Carolina,2468879245.0,5.2,8553152,343397.3333,799746.8333,856161978,89.2118,207.7676
North Dakota,340069374.0,3.4,644705,18926.9167,42204.4167,44674426,88.2104,196.6971
Ohio,4034554557.0,5.9,11452251,448524.4167,1007172.083,1155257476,95.5859,214.6404
Oklahoma,1383106457.0,4.4,3525233,172837.1667,424402.25,439598807,86.3172,211.9523
Oregon,1307882154.0,6.1,3569463,218296.75,429358.25,455943437,88.4932,174.0534
Pennsylvania,5045260714.0,5.0,12410722,471960.0,1042808.583,1104711263,88.2801,195.0574
Rhode Island,579074776.0,5.0,1074579,34751.4167,76085.3333,78517688,85.9974,188.2841
South Carolina,1325000535.0,6.8,4210921,219503.0833,521125.4167,565811046,90.479,214.8076
South Dakota,404652702.0,3.9,770396,22482.9167,56095.3333,61477144,91.3284,227.8661
Tennessee,1930731025.0,5.6,5910809,374011.0833,849702.5,941638149,92.3498,209.8062
Texas,7652047983.0,5.3,22394023,941049.8333,2441974.75,2659288088,90.7492,235.4895
Utah,763993683.0,4.3,2401580,53161.5,133262.5,141217600,88.3079,221.3657
Vermont,331030556.0,3.5,619920,22355.3333,45218.0833,44999412,82.9303,167.743
Virginia,2343361290.0,3.5,7475575,214983.4167,488480.5833,499708150,85.2487,193.7003
Washington,1790296779.0,5.5,6178645,250787.75,508471.9167,539048283,88.3445,179.1184
West Virginia,724741052.0,5.0,1816438,114038.0833,262441.8333,258050316,81.9389,188.5703
Wisconsin,1682084698.0,4.7,5514026,143459.4167,345748.3333,316951818,76.3927,184.1124
Wyoming,264614902.0,3.6,509106,10422.1667,25481.4167,26976298,88.2221,215.6965
