State,Education Budget,Unemployment Rate,Population Estimate,SNAPS household_participants,SNAPS individual_participants,SNAPS cost,SNAPS cost_per_person,SNAPS cost_per_household
Alabama,1672101861.0,5.6,4503491,197237.25,497591.3333,512604194,85.8476,216.5768
Alaska,299103691.0,7.5,648414,17695.6667,49323.25,64404884,108.8143,303.2988
Arizona,4312713049.0,5.0,5510364,207848.6667,529556.0,577867879,90.9359,231.6861
Arkansas,888970231.0,5.7,2724816,140269.3333,346441.3333,346881013,83.4391,206.0803
California,10825485264.0,6.2,35253159,732238.5,1859486.333,1981136316,88.7851,225.4657
Colorado,1665593582.0,5.5,4528732,103573.6667,241779.5833,252941644,87.1805,203.5119
Connecticut,965299387.0,4.9,3484336,102174.5,195980.1667,197530353,83.9925,161.1054
Delaware,286492122.0,4.1,818003,23292.0833,55641.75,56542045,84.6817,202.2935
Florida,5181788479.0,4.8,17004085,579944.6667,1202227.083,1268549090,87.9305,182.2802
Georgia,3047639805.0,4.6,8622793,353039.5833,867147.8333,923814897,88.7791,218.0622
Hawaii,328434252.0,3.3,1251154,48599.9167,98588.75,151809426,128.3188,260.3047
Idaho,465769792.0,4.7,1363380,36083.0,91395.3333,90971822,82.9472,210.0985
Illinois,4949209265.0,6.2,12556006,476049.75,1069595.75,1211361942,94.3785,212.051
Indiana,2163633194.0,5.2,6196638,224454.4167,526324.3333,549500594,87.0028,204.0134
Iowa,1359456012.0,4.8,2941999,76909.4167,179179.4167,176334334,82.0101,191.0628
Kansas,980808704.0,5.5,2723004,74192.5833,169527.75,158017032,77.6751,177.4852
Kentucky,1360229743.0,5.3,4117170,230678.9167,544743.6667,542743611,83.0274,196.0675
Louisiana,1717280472.0,5.7,4521042,274129.5,705700.25,753905377,89.0257,229.1816
Maine,423214886.0,4.6,1306513,72196.75,141929.1667,139618857,81.9768,161.1555
Maryland,1505190669.0,4.2,5496269,124107.5833,273872.0,286695375,87.2352,192.5046
Massachusetts,2603588836.0,5.1,6422565,154543.0833,334938.6667,304420939,75.7405,164.1511
Michigan,3454672680.0,7.1,10041152,412666.4167,943713.4167,896139758,79.1324,180.9653
Minnesota,1939365014.0,4.7,5053572,116872.5833,247465.0833,246770329,83.0994,175.954
Mississippi,1103081748.0,6.2,2868312,151677.8333,376863.9167,360952477,79.8149,198.3109
Missouri,2258962812.0,3.8,5709403,279978.75,652751.6667,663426425,84.6961,197.4633
Montana,376050552.0,4.4,919630,32984.0,77477.9167,79197439,85.1828,200.0905
Nebraska,703859098.0,5.7,1738643,48077.5,113899.75,108691184,79.5226,188.3958
Nevada,400225384.0,4.3,2248850,53516.0833,120274.8333,119520455,82.8107,186.113
New Hampshire,423650638.0,3.8,1279840,23624.6667,48449.3333,43549015,74.9047,153.6142
New Jersey,2148413429.0,4.8,8601402,172641.0833,368695.0833,377525993,85.3293,182.2307
New Mexico,735023519.0,5.7,1877574,85458.6667,222715.5,217424159,81.3535,212.0169
New York,8106090202.0,5.8,19175939,802051.0833,1598142.917,1876077920,97.8259,194.925
North Carolina,2315149754.0,5.5,8422501,315781.9167,747273.5,753200353,83.9943,198.766
North Dakota,323609847.0,3.4,638817,18373.0833,41421.25,40286413,81.0502,182.7239
Ohio,3919276071.0,6.1,11434788,419270.5,945434.9167,1009262441,88.9593,200.5989
Oklahoma,1334923300.0,4.8,3504892,165401.5833,411839.6667,397776777,80.4878,200.4096
Oregon,1318760448.0,7.4,3547376,212131.75,419735.6667,415267009,82.4461,163.1325
Pennsylvania,4740816851.0,5.5,12374658,431663.9167,960940.8333,933273618,80.934,180.1698
Rhode Island,530793180.0,5.2,1071342,35232.1667,77528.3333,73550567,79.0577,173.9664
South Carolina,1313444504.0,6.8,4150297,206986.8333,497217.5833,501204515,84.0015,201.786
South Dakota,375611344.0,3.5,763729,21112.8333,53459.3333,53934332,84.0738,212.8813
Tennessee,1895812898.0,5.4,5847812,351780.8333,806489.6667,811798438,83.8819,192.3069
Texas,7207764023.0,6.1,22030931,864342.3333,2258951.25,2306786060,85.098,222.4028
Utah,762450195.0,5.2,2360137,48365.75,123411.0833,123127454,83.1418,212.1464
Vermont,318894589.0,3.7,617858,21392.5833,42861.75,40076383,77.9179,156.1148
Virginia,2122509463.0,3.7,7366977,209858.75,485876.8333,476165722,81.6678,189.0818
Washington,1780464671.0,6.2,6104115,219415.4167,453497.3333,455273391,83.6597,172.9115
West Virginia,714586624.0,5.3,1812295,110092.25,255936.3333,231721076,75.4488,175.3992
Wisconsin,1613726426.0,4.9,5479203,131737.6667,324047.3333,269438872,69.29,170.439
Wyoming,258093648.0,3.9,503453,10381.9167,25648.4167,24981367,81.166,200.5199
