State or Other Area,2012 Actual
Alabama,2845439867.29
Alaska,450029057.04
American Samoa,33482012.00
Arizona,8048923633.05
Arkansas,1423079498.21
California,17137797045.49
Colorado,3115254276.01
Connecticut,1673334566.47
Delaware,441221808.36
District of Columbia,1825921477.78
Florida,10068816174.38
Freely Associated States,26526379.00
Georgia,5345661550.86
Guam,64327131.20
Hawaii,520633695.87
Idaho,792912554.73
Illinois,8392571592.13
Indian set-aside,280521151.00
Indiana,4437755509.99
Iowa,3683401846.64
Kansas,635906241.00
Kentucky,2440632217.10
Louisiana,2220360080.60
Maine,679890129.94
Maryland,2581653431.59
Massachusetts,3980866176.31
Michigan,5768368134.20
Minnesota,4392252001.96
Mississippi,1601233891.67
Missouri,3650429996.37
Montana,526241070.72
Nebraska,1105802556.20
Nevada,834065970.57
New Hampshire,797839221.04
New Jersey,3410837408.92
New Mexico,1049024111.60
New York,11550565473.69
North Carolina,4427093117.39
North Dakota,411803268.26
Northern Mariana Islands,20304208.00
Ohio,6821621422.37
Oklahoma,1856728667.17
Oregon,2473095210.80
Other,1356097234.05
Pennsylvania,8053091861.34
Puerto Rico,2244018128.77
Rhode Island,787188502.17
South Carolina,2360877062.73
South Dakota,639611810.13
Tennessee,3230108526.01
Texas,11391471500.43
Utah,1693986698.51
Vermont,488598108.44
Virgin Islands,46934415.64
Virginia,4451067362.32
Washington,2629058548.84
West Virginia,1360174319.01
Wisconsin,2786588957.64
Wyoming,248121510.39
     Total,178787629856.69
