state,household_participants,individual_participants,cost,cost_per_person,cost_per_household
Connecticut,219816.8333,403466.4167,696670564,143.8927,264.1103
Maine,131153.3333,252860,376750999,124.1632,239.3833
Massachusetts,479829.75,861568.25,1369997551,132.5101,237.9312
New Hampshire,56354.3333,116894.5833,166472605,118.6772,246.1695
New York,1650098.667,3076911.417,5444101662,147.445,274.9382
Rhode Island,95281.8333,172845.75,289245852,139.4528,252.9739
Vermont,49349.75,96579.4167,141255732,121.8822,238.5283
Delaware,69564.1667,148257.0833,226577031,127.3559,271.4245
District of Columbia,79728.5833,141147.3333,233302973,137.742,243.8512
Maryland,360523,716379.1667,1104337614,128.4629,255.2629
New Jersey,406142.5,826133.5833,1321101694,133.2615,271.0669
Pennsylvania,869157.1667,1799208.5,2772898224,128.4314,265.8608
Virginia,439924,913877.6667,1403720773,128.0004,265.9021
West Virginia,164033.9167,346832.5,500402535,120.2316,254.217
Alabama,411745.0833,910243.8333,1390011732,127.2564,281.3253
Florida,1825813.417,3353064.083,5592221094,138.9829,255.2388
Georgia,879493.25,1912838.75,3119435907,135.8991,295.5713
Kentucky,402733.6667,849247.6667,1298611475,127.4276,268.7077
Mississippi,296507.5833,659872.25,980027716,123.7648,275.4364
North Carolina,785071.9167,1668588.167,2430133033,121.3667,257.9523
South Carolina,410490.8333,869800.5833,1371335000,131.384,278.3933
Tennessee,641210.5,1316810.25,2089053032,132.2041,271.4986
Illinois,914286.5833,1869712.833,3128689275,139.4461,285.1667
Indiana,401414.5833,908704.5,1444409807,132.4605,299.8583
Michigan,924643.25,1828384.25,2980301907,135.835,268.5993
Minnesota,264738.9167,538868.8333,749536081,115.912,235.9356
Ohio,873827.75,1807912.667,3006931315,138.6005,286.7586
Wisconsin,398965.5,835312.3333,1167767096,116.5,243.9156
Arkansas,220095,502124.75,733396874,121.7156,277.6819
Louisiana,422679.5833,948758.25,1549558693,136.1041,305.503
New Mexico,193521.5833,438251.75,674066965,128.1735,290.2635
Oklahoma,279648.8333,614947.0833,947199555,128.3579,282.2586
Texas,1666361.75,4038440.167,6006734649,123.9491,300.3917
Colorado,220707.3333,491629.6667,808505391,137.0451,305.2706
Iowa,190720.5833,408049.5,593443715,121.1952,259.2989
Kansas,143241.5,304719.4167,457478972,125.1093,266.1467
Missouri,441625.9167,947888.5833,1462076136,128.538,275.8889
Montana,58987.6667,125873.6667,193011254,127.7811,272.6718
Nebraska,77066.25,176073.1667,258674634,122.4276,279.7102
North Dakota,27268.5,58796.3333,90677717,128.5195,277.1138
South Dakota,45110.75,103845.8333,165488630,132.7999,305.708
Utah,113253.75,276890,404542100,121.7517,297.6664
Wyoming,14946.5,34346.9167,51769558,125.6046,288.6381
Alaska,37951.6667,91297.6667,186325119,170.0711,409.1281
Arizona,484905.5,1123974.333,1706601437,126.5303,293.2876
California,1779240.833,3964220.583,7090221357,149.0461,332.0808
Hawaii,88454.6667,176822.5833,453331174,213.6469,427.0843
Idaho,100495.1667,233033.8333,361230209,129.1766,299.5419
Nevada,169147.0833,354899.75,525318612,123.3491,258.8076
Oregon,447337.8333,815221.3333,1253656139,128.1509,233.5402
Washington,580210.5,1108089.667,1684648246,126.6931,241.9593
,,,,,
,,,,,
,,,,,
,,,,,
,,1,,,
