State or Other Area,2015 Actual
Alabama,2729781358
Alaska,415238723.8
Arizona,6241051368
Arkansas,1334963163
California,16727837255
Colorado,2780371880
Connecticut,1711664971
Delaware,407209807.4
District of Columbia,1667518726
Florida,8838564032
Georgia,5116975414
Hawaii,451957656.7
Idaho,679872934.2
Illinois,7469049674
Indiana,3883891185
Iowa,2421686820
Kansas,1499228798
Kentucky,2157474471
Louisiana,2176484426
Maine,657899840.9
Maryland,2418090781
Massachusetts,3951763992
Michigan,5170171423
Minnesota,4177354624
Mississippi,1526910147
Missouri,3294846788
Montana,462528447.7
Nebraska,1003334932
Nevada,817331434.8
New Hampshire,1061917977
New Jersey,3221345476
New Mexico,870397777.9
New York,11060800392
North Carolina,4234028617
North Dakota,371500995.6
Ohio,5656542207
Oklahoma,1672978363
Oregon,2174406328
Pennsylvania,7516987147
Rhode Island,733435117.8
South Carolina,2202213757
South Dakota,589893532.9
Tennessee,3003457777
Texas,10716225910
Utah,1549237437
Vermont,442921893.6
Virginia,4286211235
Washington,2506549880
West Virginia,1259501298
Wisconsin,2513800854
Wyoming,223082544.1
American Samoa,29697317
Guam,67645393.48
Northern Mariana Islands,21491981
Puerto Rico,2202444863
Virgin Islands,38716423.24
Freely Associated States,21823489
Indian set-aside,279229620
Other,1579352251
     Total,164299000000
