State,Education Budget,Unemployment Rate,Population Estimate,SNAPS household_participants,SNAPS individual_participants,SNAPS cost,SNAPS cost_per_person,SNAPS cost_per_household,Median Income,Year
Alabama,2879238226.04,9.0,4799069,404792.5,920364.75,1492961298,135.1784,307.3512,42590,2011
Alaska,439835771.02,7.6,722128,35072.1667,86044.0833,176385311,170.8284,419.1009,69334,2011
Arizona,8998281669.29,9.5,6472643,465374.8333,1067616.5,1648821864,128.6996,295.2498,58698,2011
Arkansas,1460922257.28,8.0,2940667,210670.0,486451.0833,722195399,123.7184,285.674,49862,2011
California,17284116871.01,11.7,37638369,1612825.083,3672980.083,6481947277,147.0638,334.9168,64428,2011
Colorado,3292972712.71,8.3,5121108,200063.5833,453103.0,762800608,140.292,317.7326,70781,2011
Connecticut,1646164335.99,8.8,3588283,205771.5833,378677.0833,647390087,142.4675,262.1799,78973,2011
Delaware,375182304.89,7.3,907381,61876.8333,134926.8333,205304944,126.8002,276.4968,65989,2011
Florida,10371606988.97,10.5,19053237,1659063.167,3074670.5,5148715738,139.5465,258.6156,54454,2011
Georgia,5480540148.94,9.8,9802431,789785.0833,1780039.25,2891615163,135.3723,305.1057,55501,2011
Hawaii,524570627.85,6.7,1379329,79624.3333,159644.4167,412604147,215.3766,431.8238,71285,2011
Idaho,850625017.77,8.7,1583910,96372.3333,228628.9167,361999149,131.9457,313.0213,47459,2011
Illinois,9240377997.2,9.8,12867454,859784.8333,1793886.417,2995469012,139.1517,290.3313,61132,2011
Indiana,4713456128.02,9.0,6516528,381216.5,877559.8333,1386478333,131.6604,303.082,53657,2011
Iowa,4109414058.56,5.9,3066336,173186.0,373855.5833,566732507,126.3261,272.6993,60627,2011
Kansas,638328561.0,6.7,2869225,138909.5,298642.0833,452767878,126.3407,271.6204,55712,2011
Kentucky,2507020977.3,9.5,4369821,381739.5833,823471.8333,1260888769,127.5989,275.2506,48117,2011
Louisiana,2270917149.7,7.3,4575625,388515.8333,884518.6667,1386115227,130.5903,297.3099,40658,2011
Maine,697328857.44,7.5,1328284,126183.8333,247943.25,382131426,128.4338,252.3642,49693,2011
Maryland,2600882404.96,7.0,5839419,328327.5833,667737.9167,1035175750,129.1894,262.7396,83151,2011
Massachusetts,4051605567.21,7.4,6613583,447065.9167,813630.9167,1291609491,132.2886,240.7567,76435,2011
Michigan,6171461102.14,10.3,9882412,967565.6667,1928477.667,3151479174,136.1816,271.4268,59010,2011
Minnesota,4585013228.44,6.4,5346143,245585.3333,505918.6667,698408893,115.0397,236.9879,69804,2011
Mississippi,1696324100.47,10.7,2978731,273029.4167,622596.4167,921109139,123.2887,281.1386,49606,2011
Missouri,3814949688.54,4.4,6010275,433898.8333,943088.0,1437886768,127.0548,276.1563,55261,2011
Montana,550442264.66,6.8,997316,57132.5,124242.9167,193310950,129.6593,281.9629,40277,2011
Nebraska,1123544237.15,8.6,1840672,76182.5833,174203.9167,256477504,122.6903,280.5513,67143,2011
Nevada,812512832.85,13.5,2712730,156319.0833,332958.75,496867234,124.3566,264.8787,47043,2011
New Hampshire,737241054.87,5.4,1320202,54133.8333,113407.0,162679478,119.5396,250.4279,79534,2011
New Jersey,3302515883.37,9.3,8828117,370887.0833,759136.0833,1213993288,133.2648,272.7679,75258,2011
New Mexico,1045447262.82,7.4,2080450,179006.9167,414274.75,631681353,127.0657,294.0675,50683,2011
New York,11988354948.74,8.2,19499241,1600689.75,2999990.583,5350660541,148.6299,278.5602,61131,2011
North Carolina,4322845061.11,10.5,9657592,734482.3333,1590068.917,2377093020,124.5802,269.7016,54575,2011
North Dakota,436316716.69,3.5,685225,27892.5,60902.0833,95918344,131.2467,286.5715,68042,2011
Ohio,7040748173.11,8.6,11544663,847376.5,1779237.0,2986317777,139.8688,293.6827,53902,2011
Oklahoma,1914987911.51,6.2,3788379,272189.0833,614703.6667,947338484,128.4275,290.0369,58498,2011
Oregon,2332033006.46,9.5,3872036,419693.1667,772756.25,1189202056,128.2425,236.1253,62205,2011
Pennsylvania,8203593196.51,7.9,12745815,815764.5833,1718210.667,2647473519,128.4026,270.4491,60254,2011
Rhode Island,832176444.87,11.3,1053649,86368.25,160201.0833,274736117,142.9121,265.0821,59196,2011
South Carolina,2337037905.55,10.3,4671994,390936.4167,844404.6667,1339644859,132.208,285.5632,48392,2011
South Dakota,665308184.08,4.7,823579,43585.25,101817.25,162135500,132.7014,309.9969,57011,2011
Tennessee,3386508073.91,9.2,6399291,611502.0,1275789.75,2048637590,133.815,279.1811,42279,2011
Texas,11815683237.05,7.9,25645629,1608475.917,3977272.667,5993125493,125.5703,310.4971,59213,2011
Utah,1712850037.23,6.7,2814384,111799.0,283970.75,401261439,117.7532,299.0944,66995,2011
Vermont,499797462.82,5.6,627049,46238.5833,92037.75,134856526,122.1025,243.0447,62611,2011
Virginia,4233269653.8,6.2,8101155,406811.1667,858782.1667,1335038906,129.5477,273.4764,75594,2011
Washington,2587085704.04,9.2,6826627,543532.5833,1054693.167,1602557358,126.6211,245.7009,56850,2011
West Virginia,1365050780.61,8.0,1856301,160721.0,345955.4167,497390191,119.8108,257.8953,50489,2011
Wisconsin,2820795505.64,7.5,5705288,370371.8333,801072.9167,1117802969,116.2819,251.5047,62848,2011
Wyoming,270636459.43,6.0,567299,15341.4167,36030.9167,53162213,122.9551,288.7728,65807,2011
