DATE,Median Income,State,Year
2018-01-01,53712,arkansas,2018
2018-01-01,46159,mississippi,2018
2018-01-01,74161,alaska,2018
2018-01-01,78801,colorado,2018
2018-01-01,83243,virginia,2018
2018-01-01,66500,ohio,2018
2018-01-01,74626,oregon,2018
2018-01-01,58728,idaho,2018
2018-01-01,75684,illinois,2018
2018-01-01,68168,united states,2018
2018-01-01,66600,missouri,2018
2018-01-01,68987,kansas,2018
2018-01-01,87769,new hampshire,2018
2018-01-01,58663,maine,2018
2018-01-01,64158,south dakota,2018
2018-01-01,69619,pennsylvania,2018
2018-01-01,72586,new york,2018
2018-01-01,83152,utah,2018
2018-01-01,74144,iowa,2018
2018-01-01,64621,indiana,2018
2018-01-01,80033,new jersey,2018
2018-01-01,86433,hawaii,2018
2018-01-01,58732,oklahoma,2018
2018-01-01,93031,maryland,2018
2018-01-01,77488,minnesota,2018
2018-01-01,52096,new mexico,2018
2018-01-01,70145,delaware,2018
2018-01-01,71756,north dakota,2018
2018-01-01,72911,nebraska,2018
2018-01-01,57583,north carolina,2018
2018-01-01,49973,louisiana,2018
2018-01-01,67477,wyoming,2018
2018-01-01,60229,georgia,2018
2018-01-01,57679,montana,2018
2018-01-01,61864,nevada,2018
2018-01-01,76055,california,2018
2018-01-01,93163,massachusetts,2018
2018-01-01,49936,alabama,2018
2018-01-01,67201,arizona,2018
2018-01-01,79726,washington,2018
2018-01-01,78561,connecticut,2018
2018-01-01,67183,rhode island,2018
2018-01-01,56060,tennessee,2018
2018-01-01,54566,west virginia,2018
2018-01-01,64506,texas,2018
2018-01-01,61980,south carolina,2018
2018-01-01,58863,kentucky,2018
2018-01-01,75599,vermont,2018
2018-01-01,67574,wisconsin,2018
2018-01-01,58959,florida,2018
2018-01-01,65222,michigan,2018
