state,household_participants,individual_participants,cost,cost_per_person,cost_per_household
Connecticut,87963.3333,168590.5,145797723,72.067,138.1236
Maine,56375.9167,111147.3333,97446679,73.0612,144.043
Massachusetts,114858.5833,242541.6667,209235751,71.89,151.8068
New Hampshire,20451.8333,41052.8333,34656997,70.3504,141.2139
New York,687604.4167,1348676.75,1478662757,91.365,179.2046
Rhode Island,33369.9167,71933.1667,64256422,74.44,160.4649
Vermont,19809.4167,39914.1667,34252771,71.5134,144.093
Delaware,16483.1667,39627.5833,39293407,82.6306,198.6542
District of Columbia,34554.1667,74270.8333,75667818,84.9008,182.486
Maryland,104795.0833,228329.4167,215189301,78.5376,171.1191
New Jersey,147076.5833,319799.0833,314258247,81.8895,178.0582
Pennsylvania,350838,766615.1667,700337384,76.1287,166.3487
Virginia,157702.8333,352172.3333,305463503,72.2808,161.413
West Virginia,100359.1667,235735.5,198011265,69.9977,164.4188
Alabama,173294.75,443547.4167,417376930,78.4164,200.7067
Florida,472696.9167,985129.8333,878454831,74.3096,154.8658
Georgia,263076.3333,645633.3333,621290583,80.1914,196.803
Kentucky,187471.1667,450102.4167,410097309,75.9267,182.2935
Mississippi,126388.5,324852.1667,297924799,76.4257,196.4345
North Carolina,244907.3333,574368.5,536423418,77.828,182.526
South Carolina,154584.25,379310.0833,351661564,77.259,189.5738
Tennessee,255899.5833,598012.0833,551508090,76.853,179.5978
Illinois,392908.8333,886344.3333,923305728,86.8084,195.827
Indiana,171330.1667,410886.8333,408077163,82.7635,198.4848
Michigan,327852.9167,750037.0833,644577181,71.6161,163.838
Minnesota,101819.6667,216959.75,200648921,77.0684,164.2192
Ohio,330843.75,734679.4167,726310158,82.384,182.9439
Wisconsin,105746.6667,262309.6667,197330085,62.6899,155.5054
Arkansas,113238.1667,283908.5833,264534345,77.6466,194.674
Louisiana,224450.4167,588458.3333,587074354,83.1373,217.9674
New Mexico,65875.4167,170457,154364768,75.4661,195.2736
Oklahoma,129934.3333,316683.9167,288441518,75.9015,184.9919
Texas,570336.8333,1554428.333,1522294908,81.6107,222.4263
Colorado,78902.0833,178489.9167,165442169,77.2416,174.7336
Iowa,60549.1667,140729.25,128762369,76.2471,177.2146
Kansas,62896.3333,140403.25,113271938,67.2301,150.0776
Missouri,220638.8333,515005.9167,476894198,77.1665,180.1187
Montana,26864.6667,63347.3333,57920256,76.194,179.6668
Nebraska,37570.75,88460.5,74384109,70.0728,164.9867
North Dakota,15898.5,36781.4167,31374657,71.0836,164.4529
South Dakota,18474.1667,47662.5,45323818,79.2444,204.4468
Utah,36004.9167,89898.5833,79708928,73.8878,184.4862
Wyoming,9545,23529.9167,21538153,76.2793,188.0404
Alaska,16137.9167,46165.5,59454787,107.3218,307.014
Arizona,143824.9167,378719.3333,385908414,84.9152,223.5985
California,648315.25,1711331.583,1706341758,83.0904,219.3303
Hawaii,50441.5,105147.0833,151768769,120.2829,250.734
Idaho,28006.0833,69998.25,62014314,73.8284,184.5263
Nevada,43556.0833,97035.4167,95508198,82.0218,182.7303
Oregon,177291,359138.4167,319462072,74.127,150.159
Washington,163312.9167,350372.8333,317651773,75.5509,162.0875
