State,Education Budget,Unemployment Rate,Population Estimate,SNAPS household_participants,SNAPS individual_participants,SNAPS cost,SNAPS cost_per_person,SNAPS cost_per_household,Median Income,Year,Unnamed: 0,U.S. Rank,% Change,Job Growth (In Thousands),# of Jobs (In Thousands)
Alabama,557767813.76,4.6,4447207,156104.5833,396057.1667,343735258,72.3244,183.4962,35424,2000,0,49.0,1.03,19.8,1945.1
Alaska,177881580.0,6.6,626933,13208.3333,37524.3333,45834562,101.7885,289.177,83377,2000,1,40.0,1.75,4.7,273.0
Arizona,667976455.65,3.9,5130247,95567.5,259002.5833,240245624,77.2983,209.4903,62766,2000,2,1.0,4.48,96.1,2239.8
Arkansas,328403457.01,4.4,2673293,98764.3333,246571.5,206236378,69.7013,174.0139,46853,2000,3,32.0,2.36,26.7,1157.6
California,3792096589.58,4.9,33871653,672007.0,1830676.583,1639332967,74.6233,203.2882,73862,2000,4,7.0,3.58,498.5,14421.0
Colorado,370882855.48,2.7,4302086,69951.0833,155948.1667,126585277,67.6428,150.8021,76108,2000,5,4.0,3.88,81.4,2180.9
Connecticut,288895734.92,2.3,3405650,84016.0,165058.5833,138008106,69.6763,136.8867,79156,2000,6,46.0,1.38,22.9,1682.1
Delaware,85735787.0,4.0,783559,13462.6667,32217.5,31126762,80.512,192.6733,79461,2000,7,22.0,2.77,11.2,415.5
Florida,1590311741.34,3.6,15982571,415787.9167,882341.0,771225218,72.8389,154.571,61303,2000,8,9.0,3.46,235.4,7046.4
Georgia,822536044.88,3.7,8186653,229500.3333,559467.9167,488888524,72.8205,177.5192,66107,2000,9,10.0,3.44,131.6,3952.2
Hawaii,132643273.3,4.3,1211497,54211.5833,118041.25,166259882,117.3741,255.5725,81324,2000,10,16.0,3.02,16.1,549.3
Idaho,150011363.26,4.9,1293957,23174.0833,58190.8333,46163882,66.1099,166.004,37611,2000,11,3.0,3.91,20.5,544.4
Illinois,1272164391.51,4.4,12419927,356148.9167,816570.9167,777031218,79.2982,181.8133,72675,2000,12,41.0,1.71,100.6,5972.2
Indiana,588909058.44,3.2,6080827,127875.1667,300314.1667,268121224,74.4002,174.7285,64473,2000,13,36.0,2.07,60.7,2992.8
Iowa,305590676.15,2.6,2926538,52548.3333,123321.8333,100182582,67.6972,158.8737,64671,2000,14,45.0,1.38,20.0,1465.5
Kansas,296011073.0,3.7,2688925,53345.6667,116511.1667,82700978,59.151,129.1904,64779,2000,15,48.0,1.08,14.2,1334.9
Kentucky,501796365.61,4.1,4042193,167971.25,403478.75,336743372,69.55,167.064,57215,2000,16,17.0,3.0,52.6,1806.4
Louisiana,643637544.65,5.5,4469035,191890.75,499850.5833,448096963,74.7052,194.5973,30718,2000,17,44.0,1.5,28.4,1918.8
Maine,154133835.02,3.5,1274779,51710.8333,101597.9167,81408200,66.7732,131.1914,37266,2000,18,6.0,3.61,20.4,586.1
Maryland,461461302.78,3.9,5296647,101048.0833,219180.4167,199458863,75.8351,164.4917,86040,2000,19,13.0,3.1,73.0,2424.5
Massachusetts,662761570.91,2.6,6349364,110234.4167,231829.0,181517603,65.2484,137.2209,73762,2000,20,28.0,2.54,81.1,3272.2
Michigan,1105793304.47,3.6,9938823,269430.0833,602857.0,456597027,63.1157,141.2231,71804,2000,21,30.0,2.43,109.8,4623.8
Minnesota,465781969.32,3.3,4919631,91106.75,196073.0833,164695571,69.9975,150.6434,85592,2000,22,20.0,2.85,73.0,2631.5
Mississippi,448733273.91,5.7,2844754,108992.6667,275856.9167,226107873,68.3047,172.877,54113,2000,23,50.0,0.9,10.3,1155.4
Missouri,597240071.26,3.0,5596564,182254.3333,423319.9167,358044751,70.4835,163.7111,71149,2000,24,43.0,1.62,43.8,2741.5
Montana,156536540.2,4.9,902200,25279.6667,59465.6667,51194113,71.7418,168.7592,32777,2000,25,18.0,2.91,10.9,385.4
Nebraska,189206073.52,3.5,1711230,35129.75,82413.9167,60888562,61.5678,144.4373,65869,2000,26,24.0,2.72,23.9,903.4
Nevada,127129726.66,4.1,1998250,28291.3333,60904.9167,56642985,77.5019,166.8443,45758,2000,27,2.0,4.29,41.4,1007.3
New Hampshire,114094562.27,2.8,1235807,18094.9167,36266.4167,28129262,64.6357,129.545,80346,2000,28,19.0,2.89,17.1,609.7
New Jersey,761924027.08,3.8,8414764,152358.1667,344676.8333,303820932,73.4555,166.1769,79524,2000,29,25.0,2.71,104.1,3943.0
New Mexico,332184647.04,4.9,1819017,63537.0833,169353.6667,139569533,68.6775,183.0552,55366,2000,30,34.0,2.12,15.3,737.9
New York,2583256083.52,4.6,18977026,720034.8333,1438567.917,1361453901,78.8663,157.5681,64282,2000,31,33.0,2.16,179.4,8499.1
North Carolina,753759803.69,3.6,8046346,209232.0,488246.6667,403129126,68.8056,160.5591,60453,2000,32,39.0,1.89,72.1,3884.6
North Dakota,117810518.04,3.0,642237,13603.6667,31824.0833,25295459,66.2377,154.9549,56791,2000,33,31.0,2.41,7.6,323.3
Ohio,1171953384.69,4.1,11353336,279174.3333,609717.0,520402338,71.1262,155.3397,67781,2000,34,38.0,1.9,104.1,5573.4
Oklahoma,449407200.44,3.0,3450451,107098.4167,253287.0833,208396356,68.564,162.1533,51168,2000,35,47.0,1.36,19.9,1485.8
Oregon,347636498.0,4.9,3421524,114367.75,234386.9167,197738872,70.3036,144.0812,67051,2000,36,37.0,1.96,30.7,1593.6
Pennsylvania,1285504828.39,4.2,12280548,352491.0833,777112.3333,655726257,70.3165,155.0219,66541,2000,37,35.0,2.09,115.5,5637.9
Rhode Island,134418578.48,4.1,1048259,33422.25,74256.0,59272157,66.5178,147.7862,66574,2000,38,15.0,3.02,13.8,470.2
South Carolina,443090827.55,3.9,4012023,121944.9167,295335.0833,249259466,70.3324,170.3361,59274,2000,39,27.0,2.55,46.1,1856.3
South Dakota,133366735.0,2.3,754858,16425.0,42887.3333,36786857,71.4796,186.6406,57547,2000,40,5.0,3.8,13.6,371.7
Tennessee,583465744.0,3.9,5689427,215335.5,496031.4167,415123716,69.7408,160.65,34096,2000,41,23.0,2.73,72.7,2734.9
Texas,2484215057.42,4.2,20851028,489302.8333,1332784.583,1215160306,75.9788,206.9544,60913,2000,42,21.0,2.83,258.5,9386.6
Utah,255609305.83,3.2,2233183,32616.0,81916.5,68263054,69.4437,174.411,75020,2000,43,26.0,2.7,28.0,1063.2
Vermont,91491401.0,2.9,608613,19649.25,40830.9167,31996215,65.3023,135.6974,62467,2000,44,11.0,3.34,9.7,300.5
Virginia,641092964.86,2.2,7079057,150452.3333,336079.5833,262836759,65.1723,145.5814,74409,2000,45,12.0,3.29,110.4,3469.4
Washington,569577740.82,5.2,5894281,133481.1667,295060.9167,241495700,68.205,150.7676,42525,2000,46,14.0,3.04,80.4,2721.5
West Virginia,257981746.13,5.5,1808193,96096.5,226896.5,185496453,68.1281,160.8595,46402,2000,47,42.0,1.63,11.2,696.3
Wisconsin,530100702.84,3.5,5363757,76632.9167,193020.9167,128811293,55.612,140.0739,71135,2000,48,29.0,2.45,66.6,2783.6
Wyoming,86526319.67,3.9,493786,8952.0,22447.25,18591596,69.0196,173.0674,62523,2000,49,8.0,3.47,7.8,232.4
