State or Other Area,2017 Actual
Alabama,2831684185
Alaska,403601682.9
Arizona,5077168472
Arkansas,1376380456
California,17084027581
Colorado,2765702017
Connecticut,1773331356
Delaware,459555434.4
District of Columbia,1754283321
Florida,8794744245
Georgia,5109231256
Hawaii,468240243.5
Idaho,689728417.7
Illinois,7170081651
Indiana,3319401466
Iowa,2230980596
Kansas,1486510033
Kentucky,2209055707
Louisiana,2328611993
Maine,689862463.1
Maryland,2511350458
Massachusetts,4117827769
Michigan,5020924872
Minnesota,3942624446
Mississippi,1595376188
Missouri,3274176259
Montana,489940010
Nebraska,1018198232
Nevada,813339835.1
New Hampshire,1307252727
New Jersey,3426006491
New Mexico,864148148.9
New York,11454985934
North Carolina,4355257718
North Dakota,390821271
Ohio,5523290838
Oklahoma,1745468226
Oregon,1956703581
Pennsylvania,7583396339
Rhode Island,769185793.9
South Carolina,2276562599
South Dakota,575346282.5
Tennessee,3092690181
Texas,11326225425
Utah,1657822174
Vermont,448797739.4
Virginia,4404295843
Washington,2475003234
West Virginia,1195333433
Wisconsin,2443197825
Wyoming,231855269.7
American Samoa,37485745.37
Guam,70582481.31
Northern Mariana Islands,26296578.21
Puerto Rico,2393142304
Virgin Islands,38069246.33
Freely Associated States,24604450.66
Indian set-aside,294342612
Other,1437475675
     Total,1.64632E+11
