State or Other Area,2009 Actual
Alabama,1162410126.65
Alaska,199429322.08
American Samoa,10436217.64
Arizona,1506256581.25
Arkansas,728204170.04
California,8943985178.05
Colorado,1088103313.07
Connecticut,789119430.77
Delaware,218780908.78
District of Columbia,165203474.09
Florida,4088357188.94
Freely Associated States,75114.47
Georgia,2389243324.87
Guam,13560932.48
Hawaii,284813285.84
Idaho,716862327.03
Illinois,3209181116.73
Indian set-aside,98758352.00
Indiana,1531007703.09
Iowa,684015094.11
Kansas,673033323.68
Kentucky,1053553973.94
Louisiana,1174734987.98
Maine,308317779.68
Maryland,1306923962.59
Massachusetts,1537784025.94
Michigan,2579709560.75
Minnesota,1166976323.91
Mississippi,799495492.99
Missouri,1386508180.33
Montana,241805977.78
Nebraska,438067002.94
Nevada,570812105.85
New Hampshire,299127331.90
New Jersey,1984806873.18
New Mexico,543601579.53
New York,5123347086.08
North Carolina,2140650896.61
North Dakota,177234759.00
Northern Mariana Islands,4190393.86
Ohio,2798546941.55
Oklahoma,897482872.68
Oregon,850090540.05
Other,331141355.00
Pennsylvania,2948437021.90
Puerto Rico,1307450311.76
Rhode Island,266591709.43
South Carolina,1091777553.35
South Dakota,215594866.18
Tennessee,1476865141.37
Texas,6359923607.83
Utah,671669850.93
Vermont,163229651.85
Virgin Islands,14044325.43
Virginia,1751621373.91
Washington,1447419516.21
West Virginia,438582213.53
Wisconsin,1320281857.10
Wyoming,151971744.97
     Total,75486000000.00
