DATE,Median Income,State,Year
2010-01-01,48053,arkansas,2010
2010-01-01,47521,mississippi,2010
2010-01-01,72039,alaska,2010
2010-01-01,75009,colorado,2010
2010-01-01,75176,virginia,2010
2010-01-01,57143,ohio,2010
2010-01-01,63016,oregon,2010
2010-01-01,47050,idaho,2010
2010-01-01,63173,illinois,2010
2010-01-01,61364,united states,2010
2010-01-01,57057,missouri,2010
2010-01-01,57352,kansas,2010
2010-01-01,82979,new hampshire,2010
2010-01-01,47931,maine,2010
2010-01-01,56478,south dakota,2010
2010-01-01,60166,pennsylvania,2010
2010-01-01,61993,new york,2010
2010-01-01,70611,utah,2010
2010-01-01,61041,iowa,2010
2010-01-01,57458,indiana,2010
2010-01-01,78415,new jersey,2010
2010-01-01,74145,hawaii,2010
2010-01-01,53677,oklahoma,2010
2010-01-01,79951,maryland,2010
2010-01-01,65156,minnesota,2010
2010-01-01,56206,new mexico,2010
2010-01-01,68759,delaware,2010
2010-01-01,63519,north dakota,2010
2010-01-01,65384,nebraska,2010
2010-01-01,54582,north carolina,2010
2010-01-01,39300,louisiana,2010
2010-01-01,65007,wyoming,2010
2010-01-01,54940,georgia,2010
2010-01-01,41280,montana,2010
2010-01-01,51200,nevada,2010
2010-01-01,67600,california,2010
2010-01-01,75882,massachusetts,2010
2010-01-01,40933,alabama,2010
2010-01-01,58400,arizona,2010
2010-01-01,56163,washington,2010
2010-01-01,82189,connecticut,2010
2010-01-01,64287,rhode island,2010
2010-01-01,38591,tennessee,2010
2010-01-01,53271,west virginia,2010
2010-01-01,58861,texas,2010
2010-01-01,51927,south carolina,2010
2010-01-01,51188,kentucky,2010
2010-01-01,69648,vermont,2010
2010-01-01,62703,wisconsin,2010
2010-01-01,54876,florida,2010
2010-01-01,57628,michigan,2010
