State or Other Area,2003 Actual
Alabama,1584581070
Alaska,280079667
American Samoa,29758284
Arizona,3103945066
Arkansas,829601733
California,9928105199
Colorado,1416997560
Connecticut,908683240
Delaware,226632147
District of Columbia,747391195
Florida,4631097940
Freely Associated States,13261828
Georgia,2618655949
Guam,50125547
Hawaii,296507436
Idaho,443846331
Illinois,4402319739
Indian set-aside,262441357
Indiana,2012969908
Iowa,1197441529
Kansas,949612346
Kentucky,1236706200
Louisiana,1658234909
Maine,402203249
Maryland,1366392680
Massachusetts,2388397776
Michigan,3173344267
Minnesota,1754990277
Mississippi,1030626853
Missouri,2061996961
Montana,369708627
Nebraska,637057108
Nevada,363882348
New Hampshire,408411200
New Jersey,1906148101
New Mexico,684817087
New York,7590280856
North Carolina,2219887909
North Dakota,318814767
Northern Mariana Islands,17935895
Ohio,3829932878
Oklahoma,1250970587
Oregon,1188324467
Other,1125848677
Pennsylvania,4576009648
Puerto Rico,1625081366
Rhode Island,500204883
South Carolina,1240482040
South Dakota,373160375
Tennessee,1705965593
Texas,6541541039
Utah,674510076
Vermont,304548823
Virgin Islands,40284057
Virginia,1952288975
Washington,1663743593
West Virginia,677382817
Wisconsin,1511374487
Wyoming,211058170
     Total,96516604692
