State,Education Budget,Unemployment Rate,Population Estimate,SNAPS household_participants,SNAPS individual_participants,SNAPS cost,SNAPS cost_per_person,SNAPS cost_per_household,Median Income,Year,Unnamed: 0,U.S. Rank,% Change,Job Growth (In Thousands),# of Jobs (In Thousands)
Alabama,1986869436.0,5.0,4672840,231739.75,571591.0833,663901057,96.7914,238.738,44476,2008,0,39.0,-0.06,-1.2,2020.5
Alaska,318560716.2,6.7,680300,21975.5,56977.0,94262437,137.8662,357.4528,80720,2008,1,16.0,0.88,2.7,308.4
Arizona,6375493472.0,5.5,6167681,258517.0,627660.3333,772440411,102.5555,248.9973,59180,2008,2,45.0,-0.75,-20.1,2672.2
Arkansas,1046683517.0,5.1,2848650,157870.5833,377882.75,431547807,95.1679,227.7962,49936,2008,3,37.0,-0.01,-0.1,1206.7
California,12912570108.0,7.2,36250311,914160.5,2220127.083,2995179522,112.4252,273.0355,71921,2008,4,43.0,-0.29,-45.0,15388.1
Colorado,2200548161.0,4.9,4803868,109405.1667,252932.5833,325104191,107.1116,247.6301,76877,2008,5,7.0,1.61,37.2,2342.6
Connecticut,1150836531.0,5.7,3527270,120572.75,225383.1667,284829257,105.313,196.8585,81594,2008,6,9.0,1.39,23.4,1703.9
Delaware,362014919.1,4.8,871749,32512.0833,74429.3333,86180751,96.4906,220.8942,63959,2008,7,24.0,0.46,2.0,434.7
Florida,6744987114.0,6.2,18367842,745846.5833,1454928.167,1778641937,101.8746,198.7274,56585,2008,8,50.0,-2.39,-194.1,7931.5
Georgia,3907401173.0,6.2,9349988,417426.8333,1021154.5,1276750098,104.1917,254.885,58314,2008,9,38.0,-0.01,-0.6,4151.0
Hawaii,353191297.9,3.9,1315675,48824.4167,96551.0833,184612461,159.3392,315.0959,77606,2008,10,23.0,0.53,3.3,630.5
Idaho,562589289.0,4.9,1505105,40834.5833,100197.5,116567714,96.9483,237.886,47420,2008,11,33.0,0.19,1.2,643.3
Illinois,5813116523.0,6.5,12695866,595832.4167,1299443.25,1718280001,110.1933,240.3193,67178,2008,12,36.0,0.04,2.1,5905.0
Indiana,2663698922.0,5.9,6379599,267802.4167,623415.1667,772883186,103.3131,240.5017,58683,2008,13,44.0,-0.51,-15.2,2955.5
Iowa,2276849748.0,4.1,2999212,117632.1667,258172.6667,305655259,98.6598,216.5332,63252,2008,14,17.0,0.88,13.2,1509.5
Kansas,1114729744.0,4.4,2783785,85784.0833,187568.9167,211265341,93.8612,205.2297,60395,2008,15,10.0,1.2,16.5,1391.1
Kentucky,1739805781.0,6.4,4256672,283752.4167,633193.75,742037605,97.6581,217.924,51907,2008,16,42.0,-0.09,-1.6,1838.3
Louisiana,1734100593.0,4.6,4375581,324887.0833,790732.5833,1025182241,108.0414,262.9586,39563,2008,17,12.0,1.15,22.1,1940.1
Maine,478196984.6,5.4,1327040,86459.1667,173039.0833,196264502,94.5184,189.1688,47228,2008,18,25.0,0.43,2.6,601.7
Maryland,1914689258.0,4.4,5653408,167174.4167,359985.3333,432043737,100.0142,215.3658,80369,2008,19,35.0,0.11,2.8,2593.7
