DATE,Median Income,State,Year
2000-01-01,46853,Arkansas,2000
2000-01-01,54113,mississippi,2000
2000-01-01,83377,alaska,2000
2000-01-01,76108,colorado,2000
2000-01-01,74409,virginia,2000
2000-01-01,67781,ohio,2000
2000-01-01,67051,oregon,2000
2000-01-01,37611,idaho,2000
2000-01-01,72675,illinois,2000
2000-01-01,66248,united states,2000
2000-01-01,71149,missouri,2000
2000-01-01,64779,kansas,2000
2000-01-01,80346,new hampshire,2000
2000-01-01,37266,maine,2000
2000-01-01,57547,south dakota,2000
2000-01-01,66541,pennsylvania,2000
2000-01-01,64282,new york,2000
2000-01-01,75020,utah,2000
2000-01-01,64671,iowa,2000
2000-01-01,64473,indiana,2000
2000-01-01,79524,new jersey,2000
2000-01-01,81324,hawaii,2000
2000-01-01,51168,oklahoma,2000
2000-01-01,86040,maryland,2000
2000-01-01,85592,minnesota,2000
2000-01-01,55366,new mexico,2000
2000-01-01,79461,delaware,2000
2000-01-01,56791,north dakota,2000
2000-01-01,65869,nebraska,2000
2000-01-01,60453,north carolina,2000
2000-01-01,30718,louisiana,2000
2000-01-01,62523,wyoming,2000
2000-01-01,66107,georgia,2000
2000-01-01,32777,montana,2000
2000-01-01,45758,nevada,2000
2000-01-01,73862,california,2000
2000-01-01,73762,massachusetts,2000
2000-01-01,35424,alabama,2000
2000-01-01,62766,arizona,2000
2000-01-01,42525,washington,2000
2000-01-01,79156,connecticut,2000
2000-01-01,66574,rhode island,2000
2000-01-01,34096,tennessee,2000
2000-01-01,46402,west virginia,2000
2000-01-01,60913,texas,2000
2000-01-01,59274,south carolina,2000
2000-01-01,57215,kentucky,2000
2000-01-01,62467,vermont,2000
2000-01-01,71135,wisconsin,2000
2000-01-01,61303,florida,2000
2000-01-01,71804,michigan,2000
