state,household_participants,individual_participants,cost,cost_per_person,cost_per_household
Connecticut,111958.0833,210288,239082045,94.7439,177.955
Maine,81557.4167,160293.75,169291080,88.0109,172.9774
Massachusetts,227263.25,431517.8333,421536216,81.4057,154.5697
New Hampshire,27377.4167,56338.25,57878223,85.6112,176.1739
New York,935068.0833,1785913.667,2239980092,104.5207,199.6272
Rhode Island,34241.4167,73194.5,80928576,92.1387,196.9559
Vermont,23695.75,47677,50092041,87.5545,176.1639
Delaware,28211.4167,65698.1667,70175479,89.0125,207.2904
District of Columbia,45468.8333,89168.1667,104153208,97.3378,190.8875
Maryland,140393.5,305394.6667,336097166,91.7112,199.4971
New Jersey,194108.25,405666.75,455855915,93.6433,195.7052
Pennsylvania,496774.3333,1092297.917,1182249827,90.1959,198.3211
Virginia,224843.3333,506655.75,525712148,86.4677,194.8439
West Virginia,118282.4167,267629.6667,266402597,82.9513,187.6882
Alabama,220345.1667,546684,593698537,90.5,224.5335
Florida,673298.75,1417749.417,1684348395,99.0036,208.4697
Georgia,386191.8333,946812.0833,1098314441,96.6678,236.9967
Kentucky,257605,589101.8333,645357318,91.2911,208.7684
Mississippi,181184,447709.6667,507102161,94.3882,233.2353
North Carolina,376577.1667,854407.25,920976885,89.8261,203.8044
South Carolina,226849.8333,534294.0833,589430436,91.9329,216.5274
Tennessee,387090.3333,870416,976012959,93.4432,210.1174
Illinois,556293.3333,1225093.167,1503197008,102.2505,225.1805
Indiana,249498.0833,574696.4167,648113405,93.9791,216.4724
Michigan,515029.5833,1133792.917,1238787643,91.0504,200.4396
Minnesota,125763.8333,263985.5,282402693,89.1472,187.125
Ohio,480582.1667,1063919.667,1266219839,99.1788,219.5635
Wisconsin,154557.9167,367918.4167,346649508,78.5159,186.9038
Arkansas,159353.75,384888.5833,414384306,89.7195,216.7004
Louisiana,333399.5,829882.1667,1031646570,103.5937,257.8605
New Mexico,95499.3333,244671.6667,253364982,86.2942,221.0879
Oklahoma,181134.75,435519.0833,467306464,89.4156,214.9903
Texas,1017312.583,2622548.083,2939331493,93.3994,240.7758
Colorado,107245.5833,251385.4167,321030244,106.4203,249.451
Iowa,100753.0833,225717.4167,244224816,90.1661,201.9995
Kansas,81624.5,183070.6667,188316820,85.7214,192.2593
Missouri,299304.75,672889.3333,740064276,91.6525,206.0509
Montana,35268.4167,81567.1667,89953948,91.9017,212.546
Nebraska,51285,119683.25,124315497,86.5587,202.0011
North Dakota,19287.9167,42576.3333,46220226,90.4654,199.6942
South Dakota,23781.1667,58466.4167,66153217,94.2895,231.8123
Utah,53966.75,131753.1667,140415915,88.8125,216.8247
Wyoming,10133.8333,24236.4167,26308511,90.4579,216.3422
Alaska,21172.3333,57153.3333,85981777,125.3671,338.4203
Arizona,220292.6667,540781.5,626260397,96.5055,236.9047
California,799468.5,1999656.167,2376672482,99.045,247.7346
Hawaii,44882.5833,87942.4167,147845128,140.0965,274.5035
Idaho,36959.0833,91105.5,100166643,91.6215,225.8503
Nevada,54517.4167,117919.6667,124331511,87.8646,190.0486
Oregon,222930.25,434238.5833,463280260,88.9066,173.1783
Washington,270201.5833,535768.1667,594593287,92.483,183.3795
