state,household_participants,individual_participants,cost,cost_per_person,cost_per_household
Connecticut,180462.9167,336064.4167,569684382,141.2637,263.0662
Maine,114210.5,229731,356097335,129.1718,259.8253
Massachusetts,407303.8333,749120.5,1165907744,129.6974,238.5418
New Hampshire,49537.25,104375.3333,151813784,121.2082,255.3866
New York,1463135.333,2757836,4984900302,150.6284,283.9166
Rhode Island,72839.75,138965.9167,237618372,142.492,271.8506
Vermont,42434.3333,85538.1667,124311833,121.1076,244.1259
Delaware,50507,112513.0833,171155272,126.7669,282.3953
District of Columbia,66032.1667,118492.9167,195893308,137.7672,247.2195
Maryland,265796.25,560848.3333,877975713,130.4535,275.2659
New Jersey,303764.8333,622022.25,1030292837,138.03,282.6454
Pennsylvania,740185.8333,1574782.5,2332575204,123.4337,262.6114
Virginia,364825.0833,786157.25,1213496417,128.6316,277.1868
West Virginia,154886.1667,341155.75,486939521,118.9436,261.9878
Alabama,344787.9167,805095.1667,1226018708,126.902,296.3219
Florida,1370563.25,2603185.25,4416942533,141.3954,268.5601
Georgia,681782.25,1591078.25,2565169527,134.3517,313.5372
Kentucky,353226.5833,778113.9167,1186291238,127.0477,279.8702
Mississippi,247947.3333,575674.3333,846542922,122.5437,284.517
North Carolina,611325.0833,1346494.833,2072127398,128.2421,282.4639
South Carolina,359505.9167,797109.75,1256298352,131.3389,291.2095
Tennessee,573724.75,1224023,1966107581,133.8556,285.5765
Illinois,775019,1645722.083,2784473892,140.9956,299.3985
Indiana,347834.6667,813403.4167,1291225153,132.2863,309.3484
Michigan,865508.25,1776367.917,2808763231,131.7653,270.4349
Minnesota,209815.5,430345.75,624886794,121.0048,248.189
Ohio,751298.8333,1607422,2733689660,141.7223,303.2182
Wisconsin,317015.25,715213.1667,1000496070,116.5732,262.9989
Arkansas,197624.25,466597.75,686400617,122.5896,289.4384
Louisiana,353494.75,825917.9167,1286198597,129.7747,303.2102
New Mexico,150795.8333,356821.9167,541806403,126.5352,299.415
Oklahoma,251247.8333,582491.5,899655548,128.708,298.3958
Texas,1407082.667,3551580.667,5447397414,127.8163,322.6177
Colorado,176289.1667,404678.5,687709379,141.6164,325.0859
Iowa,156529.1667,340303.6667,526119310,128.8357,280.0965
Kansas,122943.3333,269709.5833,402630483,124.4025,272.9106
Missouri,408716.9167,901349.25,1361300993,125.8577,277.5558
Montana,51148.1667,113569.5,176546027,129.5433,287.6382
Nebraska,70541.5833,162816.5833,237577180,121.5976,280.6585
North Dakota,27231.75,59888.3333,95014675,132.2109,290.7595
South Dakota,40053.8333,95336,153075454,133.8035,318.4786
Utah,98804.5,247405.1667,366903456,123.5839,309.4524
Wyoming,14472.6667,34799,51674879,123.7461,297.5429
Alaska,30440.9167,76445.1667,159413978,173.7781,436.4027
Arizona,439364.1667,1018170.667,1587702249,129.9473,301.1363
California,1391359.25,3238547.917,5691851784,146.461,340.9048
Hawaii,69401.5,138165.9167,358144853,216.0113,430.0398
Idaho,78378.1667,194033.3333,299552014,128.6514,318.4901
Nevada,128979.25,278105.4167,414596369,124.2324,267.8702
Oregon,373818.9167,705034.9167,1066932095,126.1087,237.8451
Washington,474700.75,956003.6667,1386585984,120.8665,243.414
