state,household_participants,individual_participants,cost,cost_per_person,cost_per_household
Connecticut,139408.4167,258165.25,417158566,134.6549,249.3624
Maine,99556.6667,201248.1667,292704585,121.2038,245.0067
Massachusetts,336050.25,627610.5833,925603583,122.9005,229.5301
New Hampshire,38459,78941.6667,115948720,122.3992,251.2388
New York,1231891.833,2322742.417,3955033246,141.8952,267.5447
Rhode Island,51554.5833,102303.25,170463595,138.8548,275.539
Vermont,35407.75,72125.1667,99238170,114.6597,233.5604
Delaware,40239.1667,90932.5,129098106,118.3095,267.3558
District of Columbia,56592.25,103311.25,159506975,128.6622,234.8775
Maryland,212259.8333,454195.8333,668682585,122.6862,262.5252
New Jersey,242742.5833,499852.5,750159374,125.0635,257.5291
Pennsylvania,631565.5833,1337803.167,1900787569,118.4023,250.8037
Virginia,295740.75,651725.25,922879649,118.0047,260.0475
West Virginia,138070,305959.6667,408456434,111.2501,246.5274
Alabama,280624.8333,679138.4167,970949096,119.1398,288.3295
Florida,1001711.083,1952362.417,2968374682,126.7001,246.942
Georgia,534944.0833,1286078.417,1943839554,125.9539,302.8104
Kentucky,315885,701756.5,1002094470,118.9984,264.3616
Mississippi,214103,505919.6667,691067947,113.8303,268.978
North Carolina,506033.5833,1137293.833,1625497467,119.1057,267.686
South Carolina,302450.1667,687508.1667,1001691847,121.4158,275.9936
Tennessee,490911.9167,1072054.5,1603675536,124.6575,272.2273
Illinois,677146.8333,1462421.083,2322771336,132.3588,285.8527
Indiana,301195.1667,706694.8333,1071248747,126.3215,296.3883
Michigan,694340.8333,1450272.25,2106871076,121.0618,252.8623
Minnesota,165533.0833,344992.8333,472689944,114.1787,237.9635
Ohio,624988.5833,1357412,2167118474,133.0423,288.9544
Wisconsin,234873.8333,547878.3333,679971117,103.4249,241.254
Arkansas,172602,411153.25,569987431,115.5262,275.1935
Louisiana,303286.5833,723737.8333,1119136582,128.8607,307.5025
New Mexico,119394.75,291073,410844850,117.6237,286.7552
Oklahoma,199614.5833,472908.25,666446549,117.4376,278.2222
Texas,1183153.25,3003156.417,4399125072,122.0695,309.8447
Colorado,138381.75,319120.5,502657149,131.2611,302.6996
Iowa,135557.6667,295106.1667,419857396,118.5611,258.105
Kansas,99698.1667,219264.75,301563664,114.6117,252.0639
Missouri,359746,800909.3333,1135612551,118.1587,263.0589
Montana,40923,92453,134564381,121.2908,274.0195
Nebraska,57442.3333,133623.3333,179068040,111.6746,259.7794
North Dakota,23988.5833,53069.5833,79564871,124.938,276.3984
South Dakota,30901.0833,73981.25,111278093,125.3449,300.0922
Utah,73706.1667,185281.9167,263258195,118.4043,297.6438
Wyoming,11185.0833,26762.0833,37074837,115.4458,276.2223
Alaska,25107.25,64384.8333,129624461,167.773,430.2358
Arizona,340852.4167,813987.0833,1223845635,125.2933,299.212
California,1122948.917,2670340.583,4382009712,136.7494,325.1862
Hawaii,57856.8333,114598.9167,273683509,199.0155,394.1965
Idaho,54458.8333,136242.9167,200937001,122.9036,307.4754
Nevada,92885,200056.0833,285773577,119.0389,256.3866
Oregon,302714.3333,581024.75,831153110,119.2079,228.8057
Washington,375570.25,761220.25,1046740870,114.5902,232.2559
