state,household_participants,individual_participants,cost,cost_per_person,cost_per_household
Connecticut,248203.5,442161.25,715334947,240.17085,134.8178833
Maine,105075.3333,202578.8333,282015650,223.661475,116.0106583
Massachusetts,449467.6667,785778.0833,1202312621,222.9141833,127.50765
New Hampshire,51478.25,106296.3333,132497777,214.4882833,103.874525
New York,1665682.5,3039108.167,5036156208,251.9565917,138.0930417
Rhode Island,100949.3333,175024.6667,282777163,233.4315917,134.6368167
Vermont,44950.3333,84993.6667,124409407,230.64235,121.9790917
Delaware,71820.75,149980.5,228935464,265.6329167,127.2029083
District of Columbia,80006.5,141845.0833,224104447,233.4231667,131.6603333
Maryland,404707.5,781034.5833,1149657589,236.726025,122.6639667
New Jersey,453337.5833,905727.6667,1291435885,237.394075,118.8212083
Pennsylvania,918760.75,1826666.833,2699655059,244.8638083,123.1594333
Virginia,404347.5833,860374.75,1230788073,253.6571917,119.2104667
West Virginia,181961.0833,367908.25,497268953,227.73595,112.634275
Alabama,417943.4167,889380.0833,1341906577,267.56145,125.7342583
Florida,2009593.917,3656169.417,5688711691,235.8980583,129.6601083
Georgia,839206.6667,1800530.917,2803606880,278.3985333,129.7583417
Kentucky,368596.4167,768881.8333,1112381122,251.4903083,120.5626417
Mississippi,296094.3333,636322.25,916551543,257.95595,120.0324167
North Carolina,803494.75,1646202.25,2395550386,248.4511583,121.2665083
South Carolina,379991.75,804571.75,1208604782,265.0506667,125.1809583
Tennessee,611805.1667,1229390.667,1884708816,256.7141917,127.7535833
Illinois,1060589.167,2042305.5,3303102831,259.5336417,134.77835
Indiana,379929.4167,831740.4167,1244188231,272.8989833,124.6571083
Michigan,824971.4167,1571344.333,2369233695,239.324825,125.6479167
Minnesota,240410,496023.1667,627557916,217.5304417,105.43155
Ohio,818704.25,1676263,2528834777,257.40215,125.7178833
Wisconsin,406753.6667,805540.4167,1051153941,215.354325,108.7421083
Arkansas,214055.75,468904,648769562,252.570325,115.2989333
Louisiana,389519.25,859737.5833,1298445656,277.7880833,125.8567833
New Mexico,205540.0833,453146.4167,685206629,277.8073833,126.0090583
Oklahoma,271064.8333,598257.1667,864950565,265.9113417,120.4819917
Texas,1558597.083,3724688.167,5265414124,281.5253,117.8043583
Colorado,233113.4167,495133.75,771959823,275.960025,129.9244583
Iowa,184849.6667,391223.75,516608025,232.895575,110.0410417
Kansas,121991.1667,273974.1667,374432741,255.7785917,113.8893083
Missouri,398662.25,844597.0833,1258535557,263.074725,124.1751417
Montana,56111.5,119081.5,171413823,254.5732167,119.9555333
Nebraska,77754.8333,174092.4167,242092503,259.4613667,115.8831333
North Dakota,24770.5833,53147.5833,77912538,262.1137917,122.1638167
South Dakota,43176.1667,98552.8333,148866948,287.3247,125.87745
Utah,88160.4167,225602.75,313810557,296.6283583,115.9156083
Wyoming,13867.6667,32605.5,46448470,279.1173083,118.7132833
Alaska,34187.3333,81121.25,168054411,409.641025,172.6370583
Arizona,439329.6667,999401,1459584642,276.858275,121.7049583
California,2096959.667,4417772,7528039778,299.1648583,142.00295
Hawaii,95544.75,188895.0833,505466329,440.8635083,222.9925417
Idaho,83868.6667,196871.5,273758132,272.0107333,115.8785167
Nevada,209786.5833,420413.1667,605592527,240.5589667,120.0391583
Oregon,442089.75,779748.9167,1152976715,217.3345833,123.2209417
Washington,572261.0833,1070932.667,1527741099,222.4714583,118.8793333
