state,household_participants,individual_participants,cost,cost_per_person,cost_per_household
Connecticut,244926.75,431597.4167,685510011,233.2364,132.359075
Maine,98549.0833,189245.1667,254898802,215.5430167,112.2436417
Massachusetts,450363.5,779191.6667,1189716303,220.1400083,127.2383
New Hampshire,48037.1667,98464.4167,120552019,209.1297667,102.026725
New York,1635763.75,2968227.333,4922406430,250.7700333,138.1971417
Rhode Island,100433.0833,171055.25,271959596,225.6557167,132.4911083
Vermont,42975.6667,79715.4167,116470075,225.845,121.7561167
Delaware,71098.9167,147558.9167,220683314,258.6576167,124.6300583
District of Columbia,75818.8333,134625.4167,210436410,231.293025,130.26045
Maryland,388957.25,744342.8333,1079151904,231.2061917,120.817075
New Jersey,440090.75,879987,1223052433,231.59095,115.8210667
Pennsylvania,950738.8333,1863835.75,2729024683,239.2021,122.0165083
Virginia,387632.5833,826353.5833,1169412644,251.400575,117.929
West Virginia,178274.25,357530.6667,499059458,233.2826417,116.3209
Alabama,399727.75,850804.0833,1254835320,261.602075,122.9068
Florida,1870739.083,3454529.667,5216754147,232.3838333,125.843325
Georgia,800670,1733473.083,2663017763,277.1655583,128.019375
Kentucky,313475.8333,666264.4167,980976984,260.7795333,122.6961583
Mississippi,269081.9167,582658.3333,814420697,252.2220417,116.4806
North Carolina,761998.75,1568386.583,2248946897,245.948225,119.49365
South Carolina,378328.25,805012.25,1222104228,269.1895667,126.5099
Tennessee,547849.5,1113230.917,1672282240,254.3706833,125.1823417
Illinois,996092.3333,1914393.333,3040976772,254.408875,132.3733917
Indiana,328688.25,741610,1068458926,270.88965,120.0607417
Michigan,777906.25,1473614.25,2167714845,232.2168083,122.5849333
Minnesota,231227.5,478782.6667,602563639,217.1611833,104.877725
Ohio,793923.0833,1608632.833,2396032919,251.497175,124.1236667
Wisconsin,359932.9167,728076.5,922851050,213.6627417,105.6266083
Arkansas,191636.25,426068.5,577775082,251.246425,113.005125
Louisiana,422089.5,927168.0833,1494495292,295.058925,134.324375
New Mexico,216876.5833,471246.75,693426783,266.4444667,122.6227333
Oklahoma,276267.9167,612869.3333,885643482,267.1451083,120.4231
Texas,1588116.417,3768471.667,5308544560,278.5555917,117.389425
Colorado,225333.5,475690.3333,728042703,269.2463667,127.5414333
Iowa,178873.75,380705.0833,507597206,236.4783417,111.1090167
Kansas,114391.5833,253832.8333,342324968,249.3809417,112.3853083
Missouri,378373.4167,810690,1182957874,260.5358083,121.5999
Montana,54611.5833,116625.75,166365465,253.8616917,118.8741667
Nebraska,78481.5,175850.6667,240677417,255.556425,114.0538833
North Dakota,25261.5,54252.25,78700888,259.6206583,120.8872833
South Dakota,42233.75,95983.25,144590242,285.2975833,125.5342667
Utah,86244.3333,219819.5833,301869697,291.6807083,114.4384333
Wyoming,14367.3333,33852.9167,48510210,281.368675,119.4141583
Alaska,34647.6667,82326.25,175483424,422.066475,177.6300833
Arizona,427060.9167,960104.6667,1402230493,273.6203083,121.708125
California,2093561.833,4340042.083,7237700086,288.0935583,138.9713917
Hawaii,89094.9167,176729.0833,484225008,452.9111833,228.3273583
Idaho,79531.3333,185303.4167,255423930,267.6344833,114.8674333
Nevada,222252.8333,439782.4167,629519652,236.0373583,119.2861917
Oregon,419777.5833,734864,1072982185,213.0060917,121.675825
Washington,546930.8333,1011411.667,1452893518,221.3707,119.7083917
